#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:120:3:1004002,1004002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1004,1603:45:16:120:3:1004002,Djohong,,CM001004002,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1004003,1004003,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1004,1603:45:16:120:3:1004003,Meiganga,,CM001004003,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1004004,1004004,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1004,1603:45:16:120:3:1004004,Ngaoui,,CM001004004,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005001,1005001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005001,Belel,,CM001005001,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005002,1005002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005002,Martap,,CM001005002,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005003,1005003,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005003,Mbe,,CM001005003,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005004,1005004,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005004,Nganha,,CM001005004,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005005,1005005,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005005,Ngaoundere 1er,,CM001005005,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005006,1005006,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005006,Ngaoundere 2e,,CM001005006,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005007,1005007,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005007,Ngaoundere 3e,,CM001005007,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1005008,1005008,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,1603:45:16:120:3:1005008,Nyambaka,,CM001005008,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001001,2001001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001001,Bibey,,CM002001001,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001002,2001002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001002,Lembe Yezoum,,CM002001002,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001003,2001003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001003,Mbandjock,,CM002001003,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001004,2001004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001004,Minta,,CM002001004,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001005,2001005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001005,Nanga-Eboko,,CM002001005,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001006,2001006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001006,Nkoteng,,CM002001006,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2001007,2001007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,1603:45:16:120:3:2001007,Nsem,,CM002001007,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002001,2002001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002001,Batchenga,,CM002002001,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002002,2002002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002002,Ebebda,,CM002002002,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002003,2002003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002003,Elig-Mfomo,,CM002002003,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002004,2002004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002004,Evodoula,,CM002002004,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002005,2002005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002005,Lobo,,CM002002005,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002006,2002006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002006,Monatele,,CM002002006,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002007,2002007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002007,Obala,,CM002002007,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002008,2002008,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002008,Okola,,CM002002008,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2002009,2002009,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,1603:45:16:120:3:2002009,Saa,,CM002002009,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003001,2003001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003001,Bafia,,CM002003001,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003002,2003002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003002,Bokito,,CM002003002,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003003,2003003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003003,Deuk,,CM002003003,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003004,2003004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003004,Kiiki,,CM002003004,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003005,2003005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003005,Kon Yambetta,,CM002003005,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003006,2003006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003006,Makenene,,CM002003006,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003007,2003007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003007,Ndikinimeki,,CM002003007,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003008,2003008,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003008,Nitoukou,,CM002003008,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2003009,2003009,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,1603:45:16:120:3:2003009,Ombessa,,CM002003009,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2004001,2004001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,1603:45:16:120:3:2004001,Mbangassina,,CM002004001,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2004002,2004002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,1603:45:16:120:3:2004002,Ngambe-Tikar,,CM002004002,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2004003,2004003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,1603:45:16:120:3:2004003,Ngoro,,CM002004003,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2004004,2004004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,1603:45:16:120:3:2004004,Ntui,,CM002004004,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2004005,2004005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,1603:45:16:120:3:2004005,Yoko,,CM002004005,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005001,2005001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005001,Afanloum,,CM002005001,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005002,2005002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005002,Assamba,,CM002005002,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005003,2005003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005003,Awae,,CM002005003,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005004,2005004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005004,Edzendouan,,CM002005004,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005005,2005005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005005,Esse,,CM002005005,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005006,2005006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005006,Mfou,,CM002005006,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005007,2005007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005007,Nkolafamba,,CM002005007,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2005008,2005008,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,1603:45:16:120:3:2005008,Soa,,CM002005008,,,,,,Mefou-et-Afamba,,CM002005,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2006001,2006001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2006,1603:45:16:120:3:2006001,Akono,,CM002006001,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2006002,2006002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2006,1603:45:16:120:3:2006002,Bikok,,CM002006002,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2006003,2006003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2006,1603:45:16:120:3:2006003,Mbankomo,,CM002006003,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2006004,2006004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2006,1603:45:16:120:3:2006004,Ngoumou,,CM002006004,,,,,,Mefou-et-Akono,,CM002006,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007001,2007001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007001,Yaounde 1er,,CM002007001,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007002,2007002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007002,Yaounde 2e,,CM002007002,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007003,2007003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007003,Yaounde 3e,,CM002007003,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007004,2007004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007004,Yaounde 4e,,CM002007004,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007005,2007005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007005,Yaounde 5e,,CM002007005,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007006,2007006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007006,Yaounde 6e,,CM002007006,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2007007,2007007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,1603:45:16:120:3:2007007,Yaounde 7e,,CM002007007,,,,,,Mfoundi,,CM002007,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008001,2008001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008001,Biyouha,,CM002008001,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008002,2008002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008002,Bondjock,,CM002008002,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008003,2008003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008003,Bot-Makak,,CM002008003,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008004,2008004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008004,Dibang,,CM002008004,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008005,2008005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008005,Eseka,,CM002008005,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008006,2008006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008006,Makak,,CM002008006,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008007,2008007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008007,Matomb,,CM002008007,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:2008008,2008008,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,1603:45:16:120:3:2008008,Messondo,,CM002008008,,,,,,Nyong-et-Kellé,,CM002008,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
