#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:120:3:1001001,1001001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1001,1603:45:16:120:3:1001001,Ngaoundal,,CM001001001,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1001002,1001002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1001,1603:45:16:120:3:1001002,Tibati,,CM001001002,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1002001,1002001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1002,1603:45:16:120:3:1002001,Galim-Tignere,,CM001002001,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1002002,1002002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1002,1603:45:16:120:3:1002002,Kontcha,,CM001002002,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1002003,1002003,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1002,1603:45:16:120:3:1002003,Mayo-Baleo,,CM001002003,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1002004,1002004,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1002,1603:45:16:120:3:1002004,Tignere,,CM001002004,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1003001,1003001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1003,1603:45:16:120:3:1003001,Bankim,,CM001003001,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1003002,1003002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1003,1603:45:16:120:3:1003002,Banyo,,CM001003002,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1003003,1003003,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1003,1603:45:16:120:3:1003003,Mayo-Darle,,CM001003003,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:3:1004001,1004001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1004,1603:45:16:120:3:1004001,Dir,,CM001004001,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
