#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:3:11101001,11101001,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101001,1603:45:16:450:3:11101001,1er Arrondissement,MG11101001,,,,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11101002,11101002,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101002,1603:45:16:450:3:11101002,2e Arrondissement,MG11101002,,,,2e Arrondissement,MG11101002A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11101003,11101003,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101003,1603:45:16:450:3:11101003,3e Arrondissement,MG11101003,,,,3e Arrondissement,MG11101003A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11101004,11101004,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101004,1603:45:16:450:3:11101004,4e Arrondissement,MG11101004,,,,4e Arrondissement,MG11101004A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11101005,11101005,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101005,1603:45:16:450:3:11101005,5e Arrondissement,MG11101005,,,,5e Arrondissement,MG11101005A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11101006,11101006,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101006,1603:45:16:450:3:11101006,6e Arrondissement,MG11101006,,,,6e Arrondissement,MG11101006A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102010,11102010,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102010,Alasora,MG11102010,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102039,11102039,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102039,Ankadikely Ilafy,MG11102039,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102050,11102050,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102050,Ambohimanambola,MG11102050,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102079,11102079,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102079,Sabotsy Namehana,MG11102079,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102099,11102099,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102099,Ambohimangakely,MG11102099,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102210,11102210,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102210,Manandriana,MG11102210,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102230,11102230,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102230,Ambohimalaza Miray,MG11102230,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102279,11102279,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102279,Fiaferana,MG11102279,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102319,11102319,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102319,Ambohimanga Rova,MG11102319,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102350,11102350,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102350,Viliahazo,MG11102350,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102379,11102379,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102379,Talata Volonondry,MG11102379,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102390,11102390,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102390,Anjeva Gara,MG11102390,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102410,11102410,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102410,Masindray,MG11102410,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11102430,11102430,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11102,1603:45:16:450:3:11102430,Ankadinandriana,MG11102430,,,,Antananarivo Avaradrano,MG11102,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103010,11103010,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103010,Ambohidratrimo,MG11103010,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103030,11103030,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103030,Anosiala,MG11103030,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103050,11103050,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103050,Talatamaty,MG11103050,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103070,11103070,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103070,Antehiroka,MG11103070,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103090,11103090,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103090,Iarinarivo,MG11103090,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103111,11103111,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103111,Ivato Firaisana,MG11103111,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103112,11103112,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103112,Ivato Aeroport,MG11103112,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103130,11103130,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103130,Ambohitrimanjaka,MG11103130,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103150,11103150,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103150,Mahitsy,MG11103150,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103171,11103171,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103171,Merimandroso,MG11103171,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103172,11103172,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103172,Ambatolampy,MG11103172,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103190,11103190,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103190,Ampangabe,MG11103190,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103210,11103210,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103210,Ampanotokana,MG11103210,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103230,11103230,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103230,Mananjara,MG11103230,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:11103251,11103251,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11103,1603:45:16:450:3:11103251,Manjakavaradrano,MG11103251,,,,Ambohidratrimo,MG11103,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
