#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:32:1:2,2,1603:45:16:32:0,1603:45:16:32:1:2,Ciudad de Buenos Aires,AR002,Ciudad de Buenos Aires,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:6,6,1603:45:16:32:0,1603:45:16:32:1:6,Buenos Aires,AR006,Buenos Aires,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:10,10,1603:45:16:32:0,1603:45:16:32:1:10,Catamarca,AR010,Catamarca,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:14,14,1603:45:16:32:0,1603:45:16:32:1:14,Córdoba,AR014,Cordoba,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:18,18,1603:45:16:32:0,1603:45:16:32:1:18,Corrientes,AR018,Corrientes,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:22,22,1603:45:16:32:0,1603:45:16:32:1:22,Chaco,AR022,Chaco,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:26,26,1603:45:16:32:0,1603:45:16:32:1:26,Chubut,AR026,Chubut,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:30,30,1603:45:16:32:0,1603:45:16:32:1:30,Entre Ríos,AR030,Entre Rios,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:34,34,1603:45:16:32:0,1603:45:16:32:1:34,Formosa,AR034,Formosa,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:38,38,1603:45:16:32:0,1603:45:16:32:1:38,Jujuy,AR038,Jujuy,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:42,42,1603:45:16:32:0,1603:45:16:32:1:42,La Pampa,AR042,La Pampa,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:46,46,1603:45:16:32:0,1603:45:16:32:1:46,La Rioja,AR046,La Rioja,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:50,50,1603:45:16:32:0,1603:45:16:32:1:50,Mendoza,AR050,Mendoza,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:54,54,1603:45:16:32:0,1603:45:16:32:1:54,Misiones,AR054,Misiones,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:58,58,1603:45:16:32:0,1603:45:16:32:1:58,Neuquén,AR058,Neuquen,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:62,62,1603:45:16:32:0,1603:45:16:32:1:62,Río negro,AR062,Rio negro,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:66,66,1603:45:16:32:0,1603:45:16:32:1:66,Salta,AR066,Salta,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:70,70,1603:45:16:32:0,1603:45:16:32:1:70,San Juan,AR070,San Juan,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:74,74,1603:45:16:32:0,1603:45:16:32:1:74,San Luis,AR074,San Luis,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:78,78,1603:45:16:32:0,1603:45:16:32:1:78,Santa Cruz,AR078,Santa Cruz,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:82,82,1603:45:16:32:0,1603:45:16:32:1:82,Santa Fe,AR082,Santa Fe,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:86,86,1603:45:16:32:0,1603:45:16:32:1:86,Santiago del Estero,AR086,Santiago del Estero,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:90,90,1603:45:16:32:0,1603:45:16:32:1:90,Tucumán,AR090,Tucuman,,,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:94,94,1603:45:16:32:0,1603:45:16:32:1:94,Tierra del Fuego,AR094,Tierra del Fuego,,,Argentina,AR,2020-05-04,2020-05-04,
