qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:32:1:2,2,1603:45:16:32:0,1603:45:16:32:1:2,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:6,6,1603:45:16:32:0,1603:45:16:32:1:6,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:10,10,1603:45:16:32:0,1603:45:16:32:1:10,Catamarca,AR010,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:14,14,1603:45:16:32:0,1603:45:16:32:1:14,Córdoba,AR014,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:18,18,1603:45:16:32:0,1603:45:16:32:1:18,Corrientes,AR018,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:22,22,1603:45:16:32:0,1603:45:16:32:1:22,Chaco,AR022,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:26,26,1603:45:16:32:0,1603:45:16:32:1:26,Chubut,AR026,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:30,30,1603:45:16:32:0,1603:45:16:32:1:30,Entre Ríos,AR030,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:34,34,1603:45:16:32:0,1603:45:16:32:1:34,Formosa,AR034,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:38,38,1603:45:16:32:0,1603:45:16:32:1:38,Jujuy,AR038,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:42,42,1603:45:16:32:0,1603:45:16:32:1:42,La Pampa,AR042,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:46,46,1603:45:16:32:0,1603:45:16:32:1:46,La Rioja,AR046,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:50,50,1603:45:16:32:0,1603:45:16:32:1:50,Mendoza,AR050,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:54,54,1603:45:16:32:0,1603:45:16:32:1:54,Misiones,AR054,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:58,58,1603:45:16:32:0,1603:45:16:32:1:58,Neuquén,AR058,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:62,62,1603:45:16:32:0,1603:45:16:32:1:62,Río negro,AR062,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:66,66,1603:45:16:32:0,1603:45:16:32:1:66,Salta,AR066,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:70,70,1603:45:16:32:0,1603:45:16:32:1:70,San Juan,AR070,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:74,74,1603:45:16:32:0,1603:45:16:32:1:74,San Luis,AR074,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:78,78,1603:45:16:32:0,1603:45:16:32:1:78,Santa Cruz,AR078,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:82,82,1603:45:16:32:0,1603:45:16:32:1:82,Santa Fe,AR082,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:86,86,1603:45:16:32:0,1603:45:16:32:1:86,Santiago del Estero,AR086,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:90,90,1603:45:16:32:0,1603:45:16:32:1:90,Tucumán,AR090,Argentina,AR,2020-05-04,2020-05-04,
1603:45:16:32:1:94,94,1603:45:16:32:0,1603:45:16:32:1:94,Tierra del Fuego,AR094,Argentina,AR,2020-05-04,2020-05-04,
