#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:862:2:101,101,1603:45:16:862:0,1603:45:16:862:1:1,1603:45:16:862:2:101,Libertador,,VE0101,,,,,,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:201,201,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:201,Autonomo Alto Orinoco,,VE0201,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:202,202,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:202,Autonomo Atabapo,,VE0202,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:203,203,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:203,Autonomo Atures,,VE0203,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:204,204,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:204,Autonomo Autana,,VE0204,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:205,205,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:205,Autonomo Maroa,,VE0205,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:206,206,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:206,Autonomo Manapiare,,VE0206,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:207,207,1603:45:16:862:0,1603:45:16:862:1:2,1603:45:16:862:2:207,Autonomo Rio Negro,,VE0207,,,,,,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:301,301,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:301,Anaco,,VE0301,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:302,302,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:302,Aragua,,VE0302,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:303,303,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:303,Fernando De Peñalv,,VE0303,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:304,304,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:304,Francisco Del Carm,,VE0304,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:305,305,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:305,Francisco De Miran,,VE0305,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:306,306,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:306,Guanta,,VE0306,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:307,307,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:307,Independencia,,VE0307,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:308,308,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:308,Juan Antonio Sotil,,VE0308,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:309,309,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:309,Juan Manuel Cajiga,,VE0309,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:310,310,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:310,Jose Gregorio Mona,,VE0310,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:311,311,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:311,Libertad,,VE0311,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:312,312,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:312,Manuel Ezequiel Br,,VE0312,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:313,313,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:313,Pedro Maria Freite,,VE0313,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:314,314,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:314,Piritu,,VE0314,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:315,315,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:315,San Jose De Guanip,,VE0315,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:316,316,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:316,San Juan De Capist,,VE0316,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:317,317,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:317,Santa Ana,,VE0317,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:318,318,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:318,Simon Bolivar,,VE0318,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:319,319,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:319,Simon Rodriguez,,VE0319,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:320,320,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:320,Sir Artur Mc Grego,,VE0320,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:321,321,1603:45:16:862:0,1603:45:16:862:1:3,1603:45:16:862:2:321,Diego Bautista Urb,,VE0321,,,,,,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:401,401,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:401,Achaguas,,VE0401,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:402,402,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:402,Biruaca,,VE0402,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:403,403,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:403,Muñoz,,VE0403,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:404,404,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:404,Paez,,VE0404,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:405,405,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:405,Pedro Camejo,,VE0405,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:406,406,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:406,Romulo Gallegos,,VE0406,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:407,407,1603:45:16:862:0,1603:45:16:862:1:4,1603:45:16:862:2:407,San Fernando,,VE0407,,,,,,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:501,501,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:501,Bolivar,,VE0501,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:502,502,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:502,Camatagua,,VE0502,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:503,503,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:503,Girardot,,VE0503,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:504,504,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:504,Jose Angel Lamas,,VE0504,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:505,505,1603:45:16:862:0,1603:45:16:862:1:5,1603:45:16:862:2:505,Jose Felix Ribas,,VE0505,,,,,,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
