#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:462:2:1001,1001,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,Haa Alif Atoll,MV001001,,North Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1002,1002,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,Haa Dhaal Atoll,MV001002,,South Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1003,1003,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,Shaviyani Atoll,MV001003,,North Miladhunmadulu,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2004,2004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,Noonu Atoll,MV002004,,South Miladhunmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2005,2005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2005,Lhaviyani Atoll,MV002005,,Faadhippolhu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2006,2006,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2006,Raa Atoll,MV002006,,North Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2007,2007,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2007,Baa Atoll,MV002007,,South Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:3021,3021,1603:45:16:462:0,1603:45:16:462:1:3,1603:45:16:462:2:3021,Male,MV003021,,Male',,Male Economic,MV003,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4008,4008,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4008,Alif Uthuru Buri,MV004008,,North Ari,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4009,4009,1603:45:16:462:0,1603:45:16:462:1:4,1603:45:16:462:2:4009,Kaafu Atoll,MV004009,,Male',,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
