#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:462:2:1001,1001,Haa Alif Atoll,MV001001,,North Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1002,1002,Haa Dhaal Atoll,MV001002,,South Thiladhunmathe,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:1003,1003,Shaviyani Atoll,MV001003,,North Miladhunmadulu,,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2004,2004,Noonu Atoll,MV002004,,South Miladhunmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2005,2005,Lhaviyani Atoll,MV002005,,Faadhippolhu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2006,2006,Raa Atoll,MV002006,,North Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:2007,2007,Baa Atoll,MV002007,,South Maalhosmadulu,,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:3021,3021,Male,MV003021,,Male',,Male Economic,MV003,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4008,4008,Alif Uthuru Buri,MV004008,,North Ari,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4009,4009,Kaafu Atoll,MV004009,,Male',,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4010,4010,Vaavu Atoll,MV004010,,Felidhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4011,4011,Faafu Atoll,MV004011,,North Nilandhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4012,4012,Dhaal Atoll,MV004012,,South Nilandhoo,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4013,4013,Meemu Atoll,MV004013,,Mulaku,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4014,4014,Thaa Atoll,MV004014,,Kolhumadulu,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4015,4015,Laamu Atoll,MV004015,,Hadhdhunmathee,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:4020,4020,Alif Dhekunu Buri,MV004020,,South Ari,,South Central,MV004,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5016,5016,Gaaf Alif Atoll,MV005016,,North Huvadhoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5017,5017,Gaaf Dhaal Atoll,MV005017,,South Huvadhoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5018,5018,Gnaviyani Atoll,MV005018,,Foammulah,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:2:5019,5019,Seenu Atoll,MV005019,,Addoo,,South,MV005,Maldives,MV,2010-01-01,2021-03-31,
