#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_vie+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_vie+is_latn,#adm1+name+alt2+i_vie+is_latn,#country+name+i_eng+is_latn,#country+name+i_vie+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:704:1:101,101,Ha Noi,TP. Hà Nội,VN101,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:103,103,Hai Phong city,TP. Hải Phòng,VN103,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:104,104,Vinh Phuc,Vĩnh Phúc,VN104,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:106,106,Bac Ninh,Bắc Ninh,VN106,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:107,107,Hai Duong,Hải Dương,VN107,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:109,109,Hung Yen,Hưng Yên,VN109,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:111,111,Ha Nam,Hà Nam,VN111,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:113,113,Nam Dinh,Nam Định,VN113,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:115,115,Thai Binh,Thái Bình,VN115,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:117,117,Ninh Binh,Ninh Bình,VN117,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:201,201,Ha Giang,Hà Giang,VN201,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:203,203,Cao Bang,Cao Bằng,VN203,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:205,205,Lao Cai,Lào Cai,VN205,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
1603:45:16:704:1:207,207,Bac Kan,Bắc Kạn,VN207,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
