#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ukr+is_cyrl,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ukr+is_cyrl,#adm2+name+alt2+i_ukr+is_cyrl,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_ukr+is_cyrl,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ukr+is_cyrl,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:804:2:102,102,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:104,104,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,Bilohirskyi,Білогірський,Белогорский,UA0104,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:106,106,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:106,Dzhankoiskyi,Джанкойський,Джанкойский,UA0106,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:108,108,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:108,Yevpatoriiskyi,Євпаторійський,Евпаторийский,UA0108,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:110,110,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:110,Kerchynskyi,Керченський,Керченский,UA0110,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:112,112,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:112,Kurmanskyi,Курманський,Курманский,UA0112,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:114,114,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:114,Perekopskyi,Перекопський,Перекопский,UA0114,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:116,116,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:116,Simferopolskyi,Сімферопольський,Симферопольский,UA0116,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:118,118,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:118,Feodosiiskyi,Феодосійський,Феодосийский,UA0118,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:120,120,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:120,Yaltynskyi,Ялтинський,Ялтинский,UA0120,,,,,,,,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
