#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:112:1:1,1,1603:45:16:112:0,1603:45:16:112:1:1,Brest,BY001,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:2,2,1603:45:16:112:0,1603:45:16:112:1:2,Gomel,BY002,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:3,3,1603:45:16:112:0,1603:45:16:112:1:3,Grodno,BY003,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:4,4,1603:45:16:112:0,1603:45:16:112:1:4,Minsk,BY004,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:5,5,1603:45:16:112:0,1603:45:16:112:1:5,Minsk City,BY005,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:6,6,1603:45:16:112:0,1603:45:16:112:1:6,Mogilev,BY006,,,,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:1:7,7,1603:45:16:112:0,1603:45:16:112:1:7,Vitebsk,BY007,,,,Belarus,BY,2019-07-30,2019-07-31,
