#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:586:2:201,201,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:201,Abbottabad,PK201,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:202,202,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:202,Bannu,PK202,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:203,203,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:203,Batagram,PK203,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:204,204,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:204,Buner,PK204,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:205,205,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:205,Charsadda,PK205,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:206,206,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:206,Chitral,PK206,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:207,207,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:207,Dera Ismail Khan,PK207,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:208,208,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:208,Hangu,PK208,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:209,209,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:209,Haripur,PK209,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:210,210,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:210,Karak,PK210,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:211,211,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:211,Kohat,PK211,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:212,212,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:212,Kohistan,PK212,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:213,213,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:213,Lakki Marwat,PK213,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:214,214,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:214,Lower Dir,PK214,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:215,215,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:215,Malakand PA,PK215,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:216,216,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:216,Mansehra,PK216,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:217,217,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:217,Mardan,PK217,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:218,218,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:218,Nowshera,PK218,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:219,219,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:219,Peshawar,PK219,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:220,220,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:220,Shangla,PK220,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:221,221,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:221,Swabi,PK221,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:222,222,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:222,Swat,PK222,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:229,229,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:229,Tank,PK229,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:230,230,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:230,Upper Dir,PK230,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:231,231,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:231,Tor Ghar,PK231,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:232,232,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:232,Bajaur,PK232,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:233,233,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:233,Khyber,PK233,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:234,234,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:234,Kurram,PK234,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:235,235,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:235,Mohmand,PK235,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:236,236,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:236,North Waziristan,PK236,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:237,237,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:237,Orakzai,PK237,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:238,238,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:238,South Waziristan,PK238,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:239,239,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:239,FR Bannu,PK239,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:240,240,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:240,FR Dera Ismail Khan,PK240,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:241,241,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:241,FR Kohat,PK241,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:242,242,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:242,FR Lakki Marwat,PK242,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:243,243,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:243,FR Peshawar,PK243,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:244,244,1603:45:16:586:0,1603:45:16:586:1:2,1603:45:16:586:2:244,FR Tank,PK244,,,,Khyber Pakhtunkhwa,PK2,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:501,501,1603:45:16:586:0,1603:45:16:586:1:5,1603:45:16:586:2:501,Islamabad,PK501,,,,Federal Capital Territory,PK5,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:601,601,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:601,Attock,PK601,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:602,602,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:602,Bahawalnagar,PK602,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:603,603,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:603,Bahawalpur,PK603,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:604,604,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:604,Bhakkar,PK604,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:605,605,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:605,Chakwal,PK605,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
1603:45:16:586:2:606,606,1603:45:16:586:0,1603:45:16:586:1:6,1603:45:16:586:2:606,Chiniot,PK606,,,,Punjab,PK6,Pakistan,PK,2018-12-26,2019-11-10,
