#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:99:123:0:1603:1:7:2616:98,0_1603_1_7_2616_98,,,,,EticaAI
1603:99:123:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,CC0-1.0
1603:99:123:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,2022-04-03
1603:99:123:0:1603:1:7:2616:655,0_1603_1_7_2616_655,,,,,Vicidata
1603:99:123:0:1603:1:7:2616:859,0_1603_1_7_2616_859,,,,,pro bonō publicō
1603:99:123:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,/Code golf/@eng-Latn
1603:99:123:1,1,,,Q283,aqua,
1603:99:123:2,2,,,Q2095,alimentum,
1603:99:123:3,3,,,Q12140,medicamentum pharmaceuticum,
