Codicem,Multiple languages,Wikidata QID,"Wikidata QID, meta",ISO 3950 & World Dental Federation notation,"ISO 3950 & World Dental Federation notation, metadata",HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary
#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_iso3950,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_hxlvoc
0_999,/Dentāle vocābulāriō/,Q10627714,,,,ix_iso3950,,v_iso3950
0_999_1_1,/Quadrant codes - upper right permanent teeth/,,/Quadrant codes - upper right permanent teeth/,,,,,
0_999_1_2,/Quadrant codes - upper left permanent teeth/,,/Quadrant codes - upper left permanent teeth/,,,,,
0_999_1_3,/Quadrant codes - lower left permanent teeth/,,/Quadrant codes - lower left permanent teeth/,,,,,
0_999_1_4,/Quadrant codes - lower right permanent teeth/,,/Quadrant codes - lower right permanent teeth/,,,,,
0_999_1_5,/Quadrant codes - upper right deciduous teeth/,,/Quadrant codes - upper right deciduous teeth/,,,,,
0_999_1_6,/Quadrant codes - upper left deciduous teeth/,,/Quadrant codes - upper left deciduous teeth/,,,,,
0_999_1_7,/Quadrant codes - lower left deciduous teeth/,,/Quadrant codes - lower left deciduous teeth/,,,,,
0_999_1_8,/Quadrant codes - lower right deciduous teeth/,,/Quadrant codes - lower right deciduous teeth/,,,,,
0_999_2_1,/Tooth codes - central incisors/,,/Tooth codes - central incisors/,,,,,
0_999_2_2,/Tooth codes - lateral incisors/,,/Tooth codes - lateral incisors/,,,,,
0_999_2_3,/Tooth codes - canines/,,/Tooth codes - canines/,,,,,
0_999_2_4,/Tooth codes - 1st premolars (permanent teeth) / 1st molar (deciduous teeth)/,,/Tooth codes - 1st premolars (permanent teeth) / 1st molar (deciduous teeth)/,,,,,
0_999_2_5,/Tooth codes - 2nd premolars (permanent teeth) / 2nd molar (deciduous teeth)/,,/Tooth codes - 2nd premolars (permanent teeth) / 2nd molar (deciduous teeth)/,,,,,
0_999_2_6,/Tooth codes - 1st molars (permanent teeth)/,,/Tooth codes - 1st molars (permanent teeth)/,,,,,
0_999_2_7,/Tooth codes - 2nd molars (permanent teeth)/,,/Tooth codes - 2nd molars (permanent teeth)/,,,,,
0_999_2_8,/Tooth codes - 3rd molars (permanent teeth)/,,/Tooth codes - 3rd molars (permanent teeth)/,,,,,
2_6,,,,26,,ix_iso3950q2d6,,v_iso3950q2d6
2_7,,,,27,,ix_iso3950q2d7,,v_iso3950q2d7
2_8,,,,28,,ix_iso3950q2d8,,v_iso3950q2d8
3_1,,,,31,,ix_iso3950q3d1,,v_iso3950q3d1
3_2,,,,32,,ix_iso3950q3d2,,v_iso3950q3d2
3_3,,,,33,,ix_iso3950q3d3,,v_iso3950q3d3
3_4,,,,34,,ix_iso3950q3d4,,v_iso3950q3d4
3_5,,,,35,,ix_iso3950q3d5,,v_iso3950q3d5
3_6,,,,36,,ix_iso3950q3d6,,v_iso3950q3d6
3_7,,,,37,,ix_iso3950q3d7,,v_iso3950q3d7
3_8,,,,38,,ix_iso3950q3d8,,v_iso3950q3d8
4_1,,,,41,,ix_iso3950q4d1,,v_iso3950q4d1
4_2,,,,42,,ix_iso3950q4d2,,v_iso3950q4d2
4_3,,,,43,,ix_iso3950q4d3,,v_iso3950q4d3
4_4,,,,44,,ix_iso3950q4d4,,v_iso3950q4d4
4_5,,,,45,,ix_iso3950q4d5,,v_iso3950q4d5
4_6,,,,46,,ix_iso3950q4d6,,v_iso3950q4d6
4_7,,,,47,,ix_iso3950q4d7,,v_iso3950q4d7
4_8,,,,48,,ix_iso3950q4d8,,v_iso3950q4d8
5_1,,,,51,,ix_iso3950q5d1,,v_iso3950q5d1
5_2,,,,52,,ix_iso3950q5d2,,v_iso3950q5d2
5_3,,,,53,,ix_iso3950q5d3,,v_iso3950q5d3
5_4,,,,54,,ix_iso3950q5d4,,v_iso3950q5d4
5_5,,,,55,,ix_iso3950q5d5,,v_iso3950q5d5
6_1,,,,61,,ix_iso3950q6d1,,v_iso3950q6d1
6_2,,,,62,,ix_iso3950q6d2,,v_iso3950q6d2
6_3,,,,63,,ix_iso3950q6d3,,v_iso3950q6d3
6_4,,,,64,,ix_iso3950q6d4,,v_iso3950q6d4
6_5,,,,65,,ix_iso3950q6d5,,v_iso3950q6d5
7_1,,,,71,,ix_iso3950q7d1,,v_iso3950q7d1
7_2,,,,72,,ix_iso3950q7d2,,v_iso3950q7d2
7_3,,,,73,,ix_iso3950q7d3,,v_iso3950q7d3
7_4,,,,74,,ix_iso3950q7d4,,v_iso3950q7d4
7_5,,,,75,,ix_iso3950q7d5,,v_iso3950q7d5
8_1,,,,81,,ix_iso3950q8d1,,v_iso3950q8d1
8_2,,,,82,,ix_iso3950q8d2,,v_iso3950q8d2
8_3,,,,83,,ix_iso3950q8d3,,v_iso3950q8d3
8_4,,,,84,,ix_iso3950q8d4,,v_iso3950q8d4
8_5,,,,85,,ix_iso3950q8d5,,v_iso3950q8d5
