#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:624:2:101,101,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:101,Bafata,GW0101,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:102,102,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:102,Bambadinca,GW0102,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:103,103,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:103,Contuboel,GW0103,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:104,104,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:104,Galomaro/Cosse,GW0104,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:105,105,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:105,Gamamudo/Ganadu,GW0105,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:106,106,1603:45:16:624:0,1603:45:16:624:1:1,1603:45:16:624:2:106,Xitole,GW0106,,,,Bafata,GW01,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:201,201,1603:45:16:624:0,1603:45:16:624:1:2,1603:45:16:624:2:201,Quinhamel,GW0201,,,,Biombo,GW02,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:202,202,1603:45:16:624:0,1603:45:16:624:1:2,1603:45:16:624:2:202,Prabis,GW0202,,,,Biombo,GW02,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:203,203,1603:45:16:624:0,1603:45:16:624:1:2,1603:45:16:624:2:203,Safim,GW0203,,,,Biombo,GW02,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:301,301,1603:45:16:624:0,1603:45:16:624:1:3,1603:45:16:624:2:301,Bolama,GW0301,,,,Bolama/Bijagos,GW03,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:302,302,1603:45:16:624:0,1603:45:16:624:1:3,1603:45:16:624:2:302,Bubaque,GW0302,,,,Bolama/Bijagos,GW03,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:303,303,1603:45:16:624:0,1603:45:16:624:1:3,1603:45:16:624:2:303,Caravela,GW0303,,,,Bolama/Bijagos,GW03,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:304,304,1603:45:16:624:0,1603:45:16:624:1:3,1603:45:16:624:2:304,Uno,GW0304,,,,Bolama/Bijagos,GW03,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:401,401,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:401,Bigene,GW0401,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:402,402,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:402,Bula,GW0402,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:403,403,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:403,Cacheu/Calequisse,GW0403,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:404,404,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:404,Caio,GW0404,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:405,405,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:405,Canchungo,GW0405,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:406,406,1603:45:16:624:0,1603:45:16:624:1:4,1603:45:16:624:2:406,Sao Domingos,GW0406,,,,Cacheu,GW04,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:501,501,1603:45:16:624:0,1603:45:16:624:1:5,1603:45:16:624:2:501,Boe,GW0501,,,,Gabu,GW05,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:502,502,1603:45:16:624:0,1603:45:16:624:1:5,1603:45:16:624:2:502,Gabu,GW0502,,,,Gabu,GW05,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:503,503,1603:45:16:624:0,1603:45:16:624:1:5,1603:45:16:624:2:503,Pirada,GW0503,,,,Gabu,GW05,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:504,504,1603:45:16:624:0,1603:45:16:624:1:5,1603:45:16:624:2:504,Pitche,GW0504,,,,Gabu,GW05,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:505,505,1603:45:16:624:0,1603:45:16:624:1:5,1603:45:16:624:2:505,Sonaco,GW0505,,,,Gabu,GW05,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:601,601,1603:45:16:624:0,1603:45:16:624:1:6,1603:45:16:624:2:601,Bissora,GW0601,,,,Oio,GW06,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:602,602,1603:45:16:624:0,1603:45:16:624:1:6,1603:45:16:624:2:602,Farim,GW0602,,,,Oio,GW06,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:603,603,1603:45:16:624:0,1603:45:16:624:1:6,1603:45:16:624:2:603,Mansaba,GW0603,,,,Oio,GW06,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:604,604,1603:45:16:624:0,1603:45:16:624:1:6,1603:45:16:624:2:604,Mansoa,GW0604,,,,Oio,GW06,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:605,605,1603:45:16:624:0,1603:45:16:624:1:6,1603:45:16:624:2:605,Nhacra,GW0605,,,,Oio,GW06,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:701,701,1603:45:16:624:0,1603:45:16:624:1:7,1603:45:16:624:2:701,Buba,GW0701,,,,Quinara,GW07,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:702,702,1603:45:16:624:0,1603:45:16:624:1:7,1603:45:16:624:2:702,Empada,GW0702,,,,Quinara,GW07,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:703,703,1603:45:16:624:0,1603:45:16:624:1:7,1603:45:16:624:2:703,Fulacunda,GW0703,,,,Quinara,GW07,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:704,704,1603:45:16:624:0,1603:45:16:624:1:7,1603:45:16:624:2:704,Tite,GW0704,,,,Quinara,GW07,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:800,800,1603:45:16:624:0,1603:45:16:624:1:8,1603:45:16:624:2:800,Sector Autonomo de Bissau,GW0800,,,,Bissau,GW08,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:901,901,1603:45:16:624:0,1603:45:16:624:1:9,1603:45:16:624:2:901,Bedanda,GW0901,,,,Tombali,GW09,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:902,902,1603:45:16:624:0,1603:45:16:624:1:9,1603:45:16:624:2:902,Cacine,GW0902,,,,Tombali,GW09,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:903,903,1603:45:16:624:0,1603:45:16:624:1:9,1603:45:16:624:2:903,Catio,GW0903,,,,Tombali,GW09,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:904,904,1603:45:16:624:0,1603:45:16:624:1:9,1603:45:16:624:2:904,Quebo,GW0904,,,,Tombali,GW09,Guinea-Bissau,GW,2021-06-14,2022-03-28,
1603:45:16:624:2:905,905,1603:45:16:624:0,1603:45:16:624:1:9,1603:45:16:624:2:905,Komo,GW0905,,,,Tombali,GW09,Guinea-Bissau,GW,2021-06-14,2022-03-28,
