qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:328:1:1,1,1603:45:16:328:0,1603:45:16:328:1:1,Barima-Waini,GY01,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:2,2,1603:45:16:328:0,1603:45:16:328:1:2,Pomeroon-Supenaam,GY02,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:3,3,1603:45:16:328:0,1603:45:16:328:1:3,Essequibo Islands-West Demerara,GY03,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:4,4,1603:45:16:328:0,1603:45:16:328:1:4,Demerara-Mahaica,GY04,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:5,5,1603:45:16:328:0,1603:45:16:328:1:5,Mahaica Berbice,GY05,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:6,6,1603:45:16:328:0,1603:45:16:328:1:6,East Berbice-Corentyne,GY06,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:7,7,1603:45:16:328:0,1603:45:16:328:1:7,Cuyuni-Mazaruni,GY07,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:8,8,1603:45:16:328:0,1603:45:16:328:1:8,Potaro-Siparuni,GY08,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:9,9,1603:45:16:328:0,1603:45:16:328:1:9,Upper Takutu-Upper Essequibo,GY09,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:10,10,1603:45:16:328:0,1603:45:16:328:1:10,Upper Demerara-Berbice,GY10,Guyana,GY,2021-06-23,2021-06-23,
