#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:328:1:1,1,1603:45:16:328:0,1603:45:16:328:1:1,Barima-Waini,GY01,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:2,2,1603:45:16:328:0,1603:45:16:328:1:2,Pomeroon-Supenaam,GY02,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:3,3,1603:45:16:328:0,1603:45:16:328:1:3,Essequibo Islands-West Demerara,GY03,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:4,4,1603:45:16:328:0,1603:45:16:328:1:4,Demerara-Mahaica,GY04,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:5,5,1603:45:16:328:0,1603:45:16:328:1:5,Mahaica Berbice,GY05,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:6,6,1603:45:16:328:0,1603:45:16:328:1:6,East Berbice-Corentyne,GY06,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:7,7,1603:45:16:328:0,1603:45:16:328:1:7,Cuyuni-Mazaruni,GY07,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:8,8,1603:45:16:328:0,1603:45:16:328:1:8,Potaro-Siparuni,GY08,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:9,9,1603:45:16:328:0,1603:45:16:328:1:9,Upper Takutu-Upper Essequibo,GY09,,,,Guyana,GY,2021-06-23,2021-06-23,
1603:45:16:328:1:10,10,1603:45:16:328:0,1603:45:16:328:1:10,Upper Demerara-Berbice,GY10,,,,Guyana,GY,2021-06-23,2021-06-23,
