qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:780:1:10,10,1603:45:16:780:0,1603:45:16:780:1:10,Port of Spain,TT10,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:20,20,1603:45:16:780:0,1603:45:16:780:1:20,San Fernando,TT20,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:30,30,1603:45:16:780:0,1603:45:16:780:1:30,Arima,TT30,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:31,31,1603:45:16:780:0,1603:45:16:780:1:31,Diego Martin,TT31,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:32,32,1603:45:16:780:0,1603:45:16:780:1:32,San Juan-Laventille,TT32,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:33,33,1603:45:16:780:0,1603:45:16:780:1:33,Tunapuna/Piarco,TT33,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:36,36,1603:45:16:780:0,1603:45:16:780:1:36,Couva-Tabaquite-Talparo,TT36,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:40,40,1603:45:16:780:0,1603:45:16:780:1:40,Chaguanas,TT40,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:51,51,1603:45:16:780:0,1603:45:16:780:1:51,Mayaro/Rio Claro,TT51,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:61,61,1603:45:16:780:0,1603:45:16:780:1:61,Sangre Grande,TT61,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:71,71,1603:45:16:780:0,1603:45:16:780:1:71,Princes Town,TT71,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:72,72,1603:45:16:780:0,1603:45:16:780:1:72,Penal-Debe,TT72,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:80,80,1603:45:16:780:0,1603:45:16:780:1:80,Point Fortin,TT80,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:81,81,1603:45:16:780:0,1603:45:16:780:1:81,Siparia,TT81,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:90,90,1603:45:16:780:0,1603:45:16:780:1:90,Tobago,TT90,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
