#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:780:1:10,10,1603:45:16:780:0,1603:45:16:780:1:10,Port of Spain,TT10,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:20,20,1603:45:16:780:0,1603:45:16:780:1:20,San Fernando,TT20,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:30,30,1603:45:16:780:0,1603:45:16:780:1:30,Arima,TT30,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:31,31,1603:45:16:780:0,1603:45:16:780:1:31,Diego Martin,TT31,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:32,32,1603:45:16:780:0,1603:45:16:780:1:32,San Juan-Laventille,TT32,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:33,33,1603:45:16:780:0,1603:45:16:780:1:33,Tunapuna/Piarco,TT33,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:36,36,1603:45:16:780:0,1603:45:16:780:1:36,Couva-Tabaquite-Talparo,TT36,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:40,40,1603:45:16:780:0,1603:45:16:780:1:40,Chaguanas,TT40,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:51,51,1603:45:16:780:0,1603:45:16:780:1:51,Mayaro/Rio Claro,TT51,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:61,61,1603:45:16:780:0,1603:45:16:780:1:61,Sangre Grande,TT61,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:71,71,1603:45:16:780:0,1603:45:16:780:1:71,Princes Town,TT71,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:72,72,1603:45:16:780:0,1603:45:16:780:1:72,Penal-Debe,TT72,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:80,80,1603:45:16:780:0,1603:45:16:780:1:80,Point Fortin,TT80,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:81,81,1603:45:16:780:0,1603:45:16:780:1:81,Siparia,TT81,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
1603:45:16:780:1:90,90,1603:45:16:780:0,1603:45:16:780:1:90,Tobago,TT90,,,,Trinidad and Tobago,TT,2017-09-08,2021-09-29,
