qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:608:1:10000000,10000000,1603:45:16:608:0,1603:45:16:608:1:10000000,Region I,PH010000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:20000000,20000000,1603:45:16:608:0,1603:45:16:608:1:20000000,Region II,PH020000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:30000000,30000000,1603:45:16:608:0,1603:45:16:608:1:30000000,Region III,PH030000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:40000000,40000000,1603:45:16:608:0,1603:45:16:608:1:40000000,Region IV-A,PH040000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:50000000,50000000,1603:45:16:608:0,1603:45:16:608:1:50000000,Region V,PH050000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:60000000,60000000,1603:45:16:608:0,1603:45:16:608:1:60000000,Region VI,PH060000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:70000000,70000000,1603:45:16:608:0,1603:45:16:608:1:70000000,Region VII,PH070000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:80000000,80000000,1603:45:16:608:0,1603:45:16:608:1:80000000,Region VIII,PH080000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:90000000,90000000,1603:45:16:608:0,1603:45:16:608:1:90000000,Region IX,PH090000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:100000000,100000000,1603:45:16:608:0,1603:45:16:608:1:100000000,Region X,PH100000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:110000000,110000000,1603:45:16:608:0,1603:45:16:608:1:110000000,Region XI,PH110000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:120000000,120000000,1603:45:16:608:0,1603:45:16:608:1:120000000,Region XII,PH120000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:130000000,130000000,1603:45:16:608:0,1603:45:16:608:1:130000000,National Capital Region,PH130000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:140000000,140000000,1603:45:16:608:0,1603:45:16:608:1:140000000,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:150000000,150000000,1603:45:16:608:0,1603:45:16:608:1:150000000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:160000000,160000000,1603:45:16:608:0,1603:45:16:608:1:160000000,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
1603:45:16:608:1:170000000,170000000,1603:45:16:608:0,1603:45:16:608:1:170000000,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
