#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_zmth+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1603:17:17:1,1,P2082,ix_unm49,+v_unm49
1603:17:17:2,2,P2983,ix_undpcc,+v_undp_cc
1603:17:17:3,3,P3024,,
1603:17:17:4,4,,ix_unpcode,+v_pcode
1603:17:17:5,5,P1937,ix_unlocode,
1603:17:17:6,6,P498,ix_iso4217,+v_currency
1603:17:17:7,7,P297,ix_iso3166p1a2,+v_iso2
1603:17:17:8,8,P298,ix_iso3166p1a3,+v_iso3
1603:17:17:9,9,P299,ix_iso3166p1n,
1603:17:17:10,10,P882,ix_usfips,
1603:17:17:11,11,P901,,
1603:17:17:12,12,P1566,ix_geonameid,
1603:17:17:13,13,P218,ix_iso639p1a2,
1603:17:17:14,14,P219,ix_iso639p2a2,
1603:17:17:15,15,P220,ix_iso639p3a3,
1603:17:17:16,16,P1394,ix_glotolog,
1603:17:17:17,17,P506,ix_iso15924a4,
1603:17:17:18,18,P2620,ix_iso15924n,
1603:17:17:19,19,P305,ix_bcp47,
1603:17:17:20,20,P229,,+v_iata_airline
1603:17:17:21,21,P230,,+v_icao_airline
1603:17:17:22,22,P238,,+v_iata_airport
1603:17:17:23,23,P239,,+v_icao_airport
1603:17:17:24,24,P402,ix_osmrelid,
1603:17:17:50,50,P4179,,
1603:17:17:100,100,P734,,
1603:17:17:101,101,P735,,
1603:17:17:102,102,P4970,,
1603:17:17:103,103,P5056,,
1603:17:17:104,104,P5109,,
1603:17:17:105,105,P5110,,
1603:17:17:106,106,P5185,,
1603:17:17:107,107,P5186,,
1603:17:17:108,108,P5187,,+v_br_ibge
1603:17:17:109,109,P5191,,
1603:17:17:110,110,P5205,,
1603:17:17:111,111,P5206,,
1603:17:17:112,112,P5238,,
1603:17:17:113,113,P5280,,
1603:17:17:114,114,P5278,,
1603:17:17:115,115,P5560,,
1603:17:17:116,116,P5692,,
1603:17:17:117,117,P5713,,
1603:17:17:118,118,P5753,,
1603:17:17:119,119,P5920,,
1603:17:17:120,120,P5967,,
1603:17:17:121,121,P5972,,
1603:17:17:122,122,P5973,,
1603:17:17:123,123,P5974,,
1603:17:17:124,124,P5975,,
1603:17:17:125,125,P5976,,
1603:17:17:126,126,P6191,,
1603:17:17:127,127,P6254,,
1603:17:17:128,128,P6271,,
1603:17:17:129,129,P6427,,
1603:17:17:130,130,P6553,,
1603:17:17:131,131,P6593,,
1603:17:17:300,300,P2440,,
1603:17:17:301,301,P2441,,
1603:17:17:302,302,P2479,,
1603:17:17:303,303,P2572,,
1603:17:17:304,304,P2671,,
1603:17:17:305,305,P2859,,
1603:17:17:306,306,P3066,,
1603:17:17:307,307,P3893,,
1603:17:17:308,308,P3896,,
1603:17:17:309,309,P3931,,
1603:17:17:310,310,P4092,,
1603:17:17:311,311,P4213,,
1603:17:17:312,312,P3982,,
1603:17:17:313,313,P4240,,
1603:17:17:314,314,P4354,,
1603:17:17:315,315,P4390,,
1603:17:17:316,316,P4403,,
1603:17:17:317,317,P4428,,
1603:17:17:318,318,P4856,,
1603:17:17:319,319,P4876,,
1603:17:17:320,320,P4901,,
1603:17:17:321,321,P4934,,
1603:17:17:322,322,P4945,,
1603:17:17:323,323,P4969,,
1603:17:17:324,324,P4988,,
1603:17:17:325,325,P5001,,
1603:17:17:326,326,P5017,,
1603:17:17:327,327,P5059,,
1603:17:17:328,328,P5061,,
1603:17:17:329,329,P5131,,
1603:17:17:330,330,P5132,,
1603:17:17:331,331,P5137,,
1603:17:17:332,332,P5178,,
1603:17:17:333,333,P5194,,
1603:17:17:334,334,P5195,,
1603:17:17:335,335,P1585,,
1603:17:17:336,336,P5209,,
1603:17:17:337,337,P5248,,
1603:17:17:338,338,P5305,,
1603:17:17:339,339,P5522	,,
1603:17:17:340,340,P5805,,
1603:17:17:341,341,P5814,,
1603:17:17:342,342,P5825,,
1603:17:17:343,343,P5930,,
1603:17:17:344,344,P5949,,
1603:17:17:345,345,P6001,,
1603:17:17:346,346,P6099,,
1603:17:17:347,347,P6193,,
1603:17:17:348,348,P6216,,
1603:17:17:349,349,P6275,,
1603:17:17:350,350,P6333,,
1603:17:17:351,351,P6339,,
1603:17:17:352,352,P6343,,
1603:17:17:353,353,P6344,,
1603:17:17:354,354,P6375,,
1603:17:17:355,355,P6498,,
1603:17:17:356,356,P6499,,
1603:17:17:357,357,P6440,,
1603:17:17:358,358,P6500,,
1603:17:17:359,359,P6507,,
1603:17:17:360,360,P6531,,
1603:17:17:400,400,P4496,,
1603:17:17:401,401,P4511,,
1603:17:17:402,402,P4575,,
1603:17:17:403,403,P4602,,
1603:17:17:404,404,P4669,,
1603:17:17:405,405,P4743,,
1603:17:17:406,406,P4841,,
1603:17:17:407,407,P4844,,
1603:17:17:408,408,P4222,,
1603:17:17:409,409,P4231,,
1603:17:17:410,410,P6512,,
