Codicem,Statūs conceptum [1-100] (/How well explained it is?/@eng-Latn),Statūs conceptum codicem [1-100] (/How likely stable the local code is?/@eng-Latn),Wikidata Property (P code),Wikidata Property (P code) meta,HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary,"HXL hashtag, metadata"
#item+conceptum+codicem,#status+conceptum,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#meta+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxl,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#meta+rem+i_qcc+is_zxxx+ix_hxlvoc
1,50,19,P2082,/UN M.49 code/,ix_unm49,,+v_unm49,(needs review)
2,50,19,P2983,/UNDP country code/,ix_undpcc,http://hdr.undp.org/en/countries,+v_undp_cc,(needs review)
3,50,19,P3024,/ITU letter code/,,https://en.wikipedia.org/wiki/List_of_ITU_letter_codes,,
4,50,19,,,ix_unpcode,,+v_pcode,https://data.humdata.org/dataset/hxl-master-vocabulary-list
5,50,19,P1937,,ix_unlocode,,,
6,50,19,P498,,ix_iso4217,,+v_currency,https://data.humdata.org/dataset/hxl-master-vocabulary-list
7,50,19,P297,,ix_iso3166p1a2,,+v_iso2,(needs review)
8,50,19,P298,,ix_iso3166p1a3,,+v_iso3,https://data.humdata.org/dataset/hxl-master-vocabulary-list
9,50,19,P299,,ix_iso3166p1n,,,(needs review)
10,50,19,P882,/FIPS 6-4 (US counties)/,ix_usfips,,,
11,50,19,P901,/FIPS 10-4 (countries and regions)/,,,,
12,50,19,P1566,/GeoNames ID/,ix_geonameid,,,
13,50,19,P218,,ix_iso639p1a2,,,
14,50,19,P219,,ix_iso639p2a2,,,
15,50,19,P220,,ix_iso639p3a3,,,
16,50,19,P1394,,ix_glottocode,,+v_glottocode,
17,50,19,P506,,ix_iso15924a4,,,
18,50,19,P2620,,ix_iso15924n,,,
19,50,19,P305,,ix_bcp47,,,
20,50,19,P229,,,,+v_iata_airline,(needs review)
21,50,19,P230,,,,+v_icao_airline,(needs review)
22,50,19,P238,,,,+v_iata_airport,(needs review)
23,50,19,P239,,,,+v_icao_airport,(needs review)
24,50,19,P402,,ix_osmrelid,,,
30,50,19,,"/Normalized CSV-like header; full header, only prefix or only suffix/",ix_csv,,+v_csv,
31,50,19,,/Normalized CSV-like identifier; prefix affinity (lat: praefīxum)/,ix_csvprfxu,,+v_csv_praefixum,
32,50,19,,/Normalized CSV-like identifier; suffix affinity (lat: suffīxum)/,ix_csvsffxm,,+v_csv_suffixum,
34,50,19,,"/Wikipedia, QID/",ix_wikiq,,+v_wiki_q,
35,50,19,,"/Wikipedia, Wikidata et all languages (lat: linguam))",ix_wikilngm,,+v_wiki_linguam,
40,50,19,,"/HXL Standard, hashtag, base tab, or attribute (but not readable header)/",ix_hxl,,+v_hxl,
41,50,19,,"/HXL Standard, full hashtag/",ix_hxlhstg,,+v_hxl_hashtag,
42,50,19,,"/HXL Standard, human readable header (lat: caput)/",ix_hxlcpt,,+v_hxl_caput,
43,50,19,,"/HXL Standard, base hashtag only/",ix_hxlt,,+v_hxl_t,
44,50,19,,"/HXL Standard, attributes only/",ix_hxla,,+v_hxl_a,
,1,1,,,,,,
50,50,19,P4179,/tabular population/,,,,
,,,,,,,,
100,1,1,P734,/family name/,,,,
101,1,1,P735,/given name/,,,,
102,1,1,P4970,/alternative name/,,,,
103,1,1,P5056,/patronym or matronym for this person/,,,,
104,1,1,P5109,/has grammatical gender/,,,,
105,1,1,P5110,/has grammatical person/,,,,
106,1,1,P5185,/grammatical gender/,,,,
107,1,1,P5186,/conjugation class/,,,,
108,1,1,P5187,/word stem/,,,,
109,1,1,P5191,/derived from lexeme/,,,,
110,1,1,P5205,/stroke count/,,,,
111,1,1,P5206,/has conjugation class/,,,,
112,1,1,P5238,/combines lexeme/,,,,
113,1,1,P5280,/radical of Chinese character/,,,,
114,1,1,P5278,/gender inflection of surname/,,,,
115,1,1,P5560,/passive voice/,,,,
116,1,1,P5692,/dummy value - known test or sample values for identifier or scheme/,,,,
117,1,1,P5713,/requires grammatical feature/,,,,
118,1,1,P5753,/ideographic description sequences/,,,,
119,1,1,P5920,/root - part of word that does not have a prefix or a suffix/,,,,
120,1,1,P5967,/reference vocabulary/,,,,
121,1,1,P5972,/translation/,,,,
122,1,1,P5973,/synonym/,,,,
123,1,1,P5974,/antonym/,,,,
124,1,1,P5975,/troponym of/,,,,
125,1,1,P5976,/false friend/,,,,
126,1,1,P6191,/language style/,,,,
127,1,1,P6254,/subject lexeme/,,,,
128,1,1,P6271,/demonym of/,,,,
129,1,1,P6427,/trading name - alternative name under which an entity legally trades	/,,,,
130,1,1,P6553,/personal pronoun/,,,,
131,1,1,P6593,/hyperonym/,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
300,1,1,P2440,/transliteration/,,,,
301,1,1,P2441,/literal translation/,,,,
302,1,1,P2479,/SPDX license ID/,,,,
303,1,1,P2572,/hashtag/,,,,
304,1,1,P2671,/Google Knowledge Graph ID/,,,,
305,1,1,P2859,/X-SAMPA code/,,,,
306,1,1,P3066,/GLAM Identifier/,,,,
307,1,1,P3893,/public domain date/,,,,
308,1,1,P3896,/geoshape/,,,,
309,1,1,P3931,/copyright holder/,,,,
310,1,1,P4092,/checksum/,,,,
311,1,1,P4213,/Unicode code point/,,,,
312,1,1,P3982,/TA98 Latin term/,,,,
313,1,1,P4240,/regular expression syntax/,,,,
314,1,1,P4354,/search formatter URL/,,,,
315,1,1,P4390,/mapping relation type/,,,,
316,1,1,P4403,/caliber - 	inner diameter of the gun barrel for a weapon/,,,,
317,1,1,P4428,"/implementation of a standard, program, specification or programming language/",,,,
318,1,1,P4856,/conscription number - number identifying a building in one cadastral area/village/neighborhood/,,,,
319,1,1,P4876,/number of records - number of values of an identifier or records in a catalog/,,,,
320,1,1,P4901,/Zenodo ID/,,,,
321,1,1,P4934,/calculated from/,,,,
322,1,1,P4945,/download link/,,,,
323,1,1,P4969,/derivative work/,,,,
324,1,1,P4988,/test method/,,,,
325,1,1,P5001,/METAR code/,,,,
326,1,1,P5017,/last update/,,,,
327,1,1,P5059,/modified version of/,,,,
328,1,1,P5061,/unit symbol/,,,,
329,1,1,P5131,/possible medical findings/,,,,
330,1,1,P5132,/suggests the existence of/,,,,
331,1,1,P5137,/item for this sense - concept corresponding to this sense of a lexeme. Do not use on items or properties/,,,,
332,1,1,P5178,/glossary entry at Wikipedia/,,,,
333,1,1,P5194,/officialized by/,,,,
334,1,1,P5195,/Wikidata Dataset Imports page/,,,,
335,50,19,P1585,/Brazilian municipality code - IBGE code/,,,+v_br_ibge,(needs review)
336,1,1,P5209,/ISO 3950 code - tooth/,,,,
337,1,1,P5248,/medical evacuation to/,,,,
338,1,1,P5305,/SPARQL endpoint/,,,,
339,1,1,P5522	,/Unicode block/,,,,
340,1,1,P5805,/OSI Model layer location/,,,,
341,1,1,P5814,/IANA service name/,,,,
342,1,1,P5825,/ISO 15919 transliteration - Brahmic scripts/,,,,
