#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:626:3:10101,10101,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10101,Ainaro,TL010101,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10102,10102,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10102,Suro-Craik,TL010102,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10103,10103,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10103,Soro,TL010103,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10104,10104,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10104,Manutasi,TL010104,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10105,10105,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10105,Cassa,TL010105,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10106,10106,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10106,Mau-Ulo,TL010106,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10107,10107,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:101,1603:45:16:626:3:10107,Mau-Nuno,TL010107,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10201,10201,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:102,1603:45:16:626:3:10201,Mulo,TL010201,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10202,10202,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:102,1603:45:16:626:3:10202,Nuno-Mogue,TL010202,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10203,10203,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:102,1603:45:16:626:3:10203,Mau-Chiga,TL010203,,,,Hatu-Builico,TL0102,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10301,10301,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10301,Maubisse,TL010301,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10302,10302,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10302,Manelobas,TL010302,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10303,10303,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10303,Manetu,TL010303,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10304,10304,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10304,Aitutu,TL010304,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10305,10305,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10305,Edi,TL010305,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10306,10306,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10306,Maulau,TL010306,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10307,10307,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10307,Horai-Quic,TL010307,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10308,10308,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10308,Suco Liurai,TL010308,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10309,10309,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:103,1603:45:16:626:3:10309,Fatu-Besi,TL010309,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10401,10401,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:104,1603:45:16:626:3:10401,Lleolima,TL010401,,,,Hatu-Udo,TL0104,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:10402,10402,1603:45:16:626:0,1603:45:16:626:1:1,1603:45:16:626:2:104,1603:45:16:626:3:10402,Foho-ai-Lico,TL010402,,,,Hatu-Udo,TL0104,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20101,20101,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20101,Aisirimou,TL020101,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20102,20102,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20102,Bandudato,TL020102,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20103,20103,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20103,Fahiria,TL020103,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20104,20104,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20104,Fatubosa,TL020104,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20105,20105,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20105,Lahae,TL020105,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20106,20106,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20106,Lausi,TL020106,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20107,20107,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20107,Hoholau,TL020107,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20108,20108,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20108,Seloi Malere,TL020108,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20109,20109,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20109,Seloi Craic,TL020109,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20110,20110,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20110,Saboria,TL020110,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20111,20111,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:201,1603:45:16:626:3:20111,Suco Liurai,TL020111,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20201,20201,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20201,Namoleso,TL020201,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20202,20202,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20202,Acubilitoho,TL020202,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20203,20203,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20203,Betulau,TL020203,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20204,20204,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20204,Faturilau,TL020204,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20205,20205,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20205,Bereleu,TL020205,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20206,20206,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20206,Fahisoi,TL020206,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20207,20207,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:202,1603:45:16:626:3:20207,Manucasa,TL020207,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20301,20301,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20301,Acumau,TL020301,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20302,20302,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20302,Tulataqueo,TL020302,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20303,20303,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20303,Suco-Liurai,TL020303,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20304,20304,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20304,Faturasa,TL020304,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20305,20305,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20305,Fadabloco,TL020305,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20306,20306,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20306,Maumeta,TL020306,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20307,20307,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20307,Hautoho,TL020307,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20308,20308,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:203,1603:45:16:626:3:20308,Fahisoi,TL020308,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:20401,20401,1603:45:16:626:0,1603:45:16:626:1:2,1603:45:16:626:2:204,1603:45:16:626:3:20401,Cotolau,TL020401,,,,Laulara,TL0204,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-16,
