qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,spa-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:591:3:10302,10302,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10302,Miramar,PA010302,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10303,10303,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10303,Punta Peña,PA010303,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10304,10304,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10304,Punta Robalo,PA010304,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10305,10305,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10305,Rambala,PA010305,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20101,20101,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20101,Alanje,PA020101,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20102,20102,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20102,Divalá,PA020102,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20103,20103,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20103,El Tejar,PA020103,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20104,20104,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20104,Guarumal,PA020104,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20105,20105,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20105,Palo Grande,PA020105,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20106,20106,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20106,Querévalo,PA020106,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
