#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:10301,10301,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10301,Chiriquí Grande,PA010301,Chiriqui Grande,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10302,10302,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10302,Miramar,PA010302,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10303,10303,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10303,Punta Peña,PA010303,Punta Pena,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10304,10304,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10304,Punta Robalo,PA010304,Punta Robalo,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:10305,10305,1603:45:16:591:0,1603:45:16:591:1:1,1603:45:16:591:2:103,1603:45:16:591:3:10305,Rambala,PA010305,,,,Chiriquí Grande,PA0103,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20101,20101,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20101,Alanje,PA020101,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20102,20102,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20102,Divalá,PA020102,Divala,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20103,20103,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20103,El Tejar,PA020103,El Tejar,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20104,20104,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20104,Guarumal,PA020104,,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20105,20105,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20105,Palo Grande,PA020105,Palo Grande,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20106,20106,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20106,Querévalo,PA020106,Querevalo,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20107,20107,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:201,1603:45:16:591:3:20107,Santo Tomás,PA020107,Santo Tomas,,,Alanje,PA0201,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20201,20201,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,1603:45:16:591:3:20201,Baco,PA020201,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20202,20202,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,1603:45:16:591:3:20202,Limones,PA020202,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20203,20203,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,1603:45:16:591:3:20203,Progreso,PA020203,,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20204,20204,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,1603:45:16:591:3:20204,Puerto Armuelles,PA020204,Puerto Armuelles,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20205,20205,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:202,1603:45:16:591:3:20205,Rodolfo Aguilar Delgado,PA020205,Rodolfo Aguilar Delgado,,,Barú,PA0202,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20301,20301,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20301,Bágala,PA020301,Bagala,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20302,20302,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20302,Boquerón,PA020302,Boqueron,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20303,20303,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20303,Cordillera,PA020303,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20304,20304,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20304,Guabal,PA020304,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20305,20305,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20305,Guayabal,PA020305,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20306,20306,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20306,Paraíso,PA020306,Paraiso,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20307,20307,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20307,Pedregal,PA020307,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20308,20308,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:203,1603:45:16:591:3:20308,Tijeras,PA020308,,,,Boquerón,PA0203,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20401,20401,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:204,1603:45:16:591:3:20401,Alto Boquete,PA020401,Alto Boquete,,,Boquete,PA0204,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
