#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:20707,20707,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:207,1603:45:16:591:3:20707,Tinajas,PA020707,,,,Dolega,PA0207,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20801,20801,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,1603:45:16:591:3:20801,Gualaca,PA020801,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20802,20802,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,1603:45:16:591:3:20802,Hornito,PA020802,,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20803,20803,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,1603:45:16:591:3:20803,Los Angeles,PA020803,Los Angeles,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20804,20804,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,1603:45:16:591:3:20804,Paja de Sombrero,PA020804,Paja de Sombrero,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20805,20805,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:208,1603:45:16:591:3:20805,Rincón,PA020805,Rincon,,,Gualaca,PA0208,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20901,20901,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,1603:45:16:591:3:20901,El Nancito,PA020901,El Nancito,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20902,20902,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,1603:45:16:591:3:20902,El Porvenir,PA020902,El Porvenir,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20903,20903,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,1603:45:16:591:3:20903,El Puerto,PA020903,El Puerto,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20904,20904,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,1603:45:16:591:3:20904,Remedios,PA020904,,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20905,20905,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:209,1603:45:16:591:3:20905,Santa Lucía,PA020905,Santa Lucia,,,Remedios,PA0209,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21001,21001,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21001,Breñón,PA021001,Brenon,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21002,21002,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21002,Cañas Gordas,PA021002,Canas Gordas,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21003,21003,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21003,Monte Lirio,PA021003,Monte Lirio,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21004,21004,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21004,Plaza Caisán,PA021004,Plaza Caisan,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21005,21005,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21005,Río Sereno,PA021005,Rio Sereno,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21006,21006,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:210,1603:45:16:591:3:21006,Santa Cruz,PA021006,Santa Cruz,,,Renacimiento,PA0210,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21101,21101,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,1603:45:16:591:3:21101,Juay,PA021101,,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21102,21102,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,1603:45:16:591:3:21102,La Lajas,PA021102,La Lajas,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21103,21103,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,1603:45:16:591:3:21103,Lajas Adentro,PA021103,Lajas Adentro,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21104,21104,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,1603:45:16:591:3:21104,San Félix,PA021104,San Felix,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21105,21105,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:211,1603:45:16:591:3:21105,Santa Cruz,PA021105,Santa Cruz,,,San Félix,PA0211,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21201,21201,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,1603:45:16:591:3:21201,Boca Chica,PA021201,Boca Chica,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21202,21202,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,1603:45:16:591:3:21202,Boca del Monte,PA021202,Boca del Monte,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21203,21203,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,1603:45:16:591:3:21203,Horconcitos,PA021203,,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21204,21204,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,1603:45:16:591:3:21204,San Juan,PA021204,San Juan,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21205,21205,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:212,1603:45:16:591:3:21205,San Lorenzo,PA021205,San Lorenzo,,,San Lorenzo,PA0212,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21301,21301,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21301,Bella Vista,PA021301,Bella Vista,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21302,21302,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21302,Cerro Viejo,PA021302,Cerro Viejo,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21303,21303,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21303,El Cristo,PA021303,El Cristo,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21304,21304,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21304,Justo Fidel Palacios,PA021304,Justo Fidel Palacios,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21305,21305,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21305,Lajas de Tolé,PA021305,Lajas de Tole,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21306,21306,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21306,Potrero de Caña,PA021306,Potrero de Cana,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21307,21307,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21307,Quebrada de Piedra,PA021307,Quebrada de Piedra,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21308,21308,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21308,Tolé,PA021308,Tole,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:21309,21309,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:213,1603:45:16:591:3:21309,Veladero,PA021309,,,,Tolé,PA0213,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30101,30101,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,1603:45:16:591:3:30101,Aguadulce,PA030101,,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30102,30102,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,1603:45:16:591:3:30102,Barrios Unidos,PA030102,Barrios Unidos,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30103,30103,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,1603:45:16:591:3:30103,El Cristo,PA030103,El Cristo,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30104,30104,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,1603:45:16:591:3:30104,El Roble,PA030104,El Roble,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30105,30105,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:301,1603:45:16:591:3:30105,Pocrí,PA030105,Pocri,,,Aguadulce,PA0301,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30201,30201,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30201,Antón,PA030201,Anton,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30202,30202,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30202,Caballero,PA030202,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30203,30203,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30203,Cabuya,PA030203,,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30204,30204,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30204,El Chirú,PA030204,El Chiru,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30205,30205,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30205,El Retiro,PA030205,El Retiro,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30206,30206,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30206,El Valle,PA030206,El Valle,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30207,30207,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30207,Juan Diaz,PA030207,Juan Diaz,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30208,30208,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30208,Río Hato,PA030208,Rio Hato,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30209,30209,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30209,San Juan de Dios,PA030209,San Juan de Dios,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30210,30210,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:302,1603:45:16:591:3:30210,Santa Rita,PA030210,Santa Rita,,,Antón,PA0302,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30301,30301,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30301,El Harino,PA030301,El Harino,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30302,30302,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30302,El Potrero,PA030302,El Potrero,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30303,30303,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30303,La Pintada,PA030303,La Pintada,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30304,30304,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30304,Las Lomas,PA030304,Las Lomas,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30305,30305,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30305,Llano Grande,PA030305,Llano Grande,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30306,30306,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:303,1603:45:16:591:3:30306,Piedras Gordas,PA030306,Piedras Gordas,,,La Pintada,PA0303,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30401,30401,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30401,Capellania,PA030401,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30402,30402,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30402,El Caño,PA030402,El Cano,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30403,30403,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30403,Guzmán,PA030403,Guzman,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30404,30404,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30404,Las Huacas,PA030404,Las Huacas,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30405,30405,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30405,Natá,PA030405,Nata,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30406,30406,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:304,1603:45:16:591:3:30406,Toza,PA030406,,,,Natá,PA0304,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30501,30501,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:305,1603:45:16:591:3:30501,El Copé,PA030501,El Cope,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30502,30502,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:305,1603:45:16:591:3:30502,El Palmar,PA030502,El Palmar,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30503,30503,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:305,1603:45:16:591:3:30503,El Picacho,PA030503,El Picacho,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30504,30504,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:305,1603:45:16:591:3:30504,La Pava,PA030504,La Pava,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30505,30505,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:305,1603:45:16:591:3:30505,Olá,PA030505,Ola,,,Olá,PA0305,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30601,30601,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30601,Cañaveral,PA030601,Canaveral,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30602,30602,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30602,Chiguirí Arriba,PA030602,Chiguiri Arriba,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30603,30603,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30603,Coclé,PA030603,Cocle,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30604,30604,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30604,El Coco,PA030604,El Coco,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30605,30605,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30605,Pajonal,PA030605,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30606,30606,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30606,Penonomé,PA030606,Penonome,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30607,30607,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30607,Río Grande,PA030607,Rio Grande,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30608,30608,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30608,Río Indio,PA030608,Rio Indio,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30609,30609,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30609,Toabré,PA030609,Toabre,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:30610,30610,1603:45:16:591:0,1603:45:16:591:1:3,1603:45:16:591:2:306,1603:45:16:591:3:30610,Tulu,PA030610,,,,Penonomé,PA0306,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40101,40101,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40101,Achiote,PA040101,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40102,40102,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40102,El Guabo,PA040102,El Guabo,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40103,40103,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40103,La Encantada,PA040103,La Encantada,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40104,40104,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40104,Nuevo Chagres,PA040104,Nuevo Chagres,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40105,40105,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40105,Palmas Bellas,PA040105,Palmas Bellas,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40106,40106,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40106,Piña,PA040106,Pina,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40107,40107,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:401,1603:45:16:591:3:40107,Salud,PA040107,,,,Chagres,PA0401,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40201,40201,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40201,Barrio Norte,PA040201,Barrio Norte,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40202,40202,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40202,Barrio Sur,PA040202,Barrio Sur,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40203,40203,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40203,Buena Vista,PA040203,Buena Vista,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40204,40204,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40204,Cativá,PA040204,Cativa,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40205,40205,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40205,Ciricito,PA040205,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40206,40206,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40206,Cristóbal,PA040206,Cristobal,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40207,40207,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40207,Escobal,PA040207,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40208,40208,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40208,Limón,PA040208,Limon,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40209,40209,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40209,Nueva Providencia,PA040209,Nueva Providencia,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40210,40210,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40210,Puerto Pilón,PA040210,Puerto Pilon,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40211,40211,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40211,Sabanitas,PA040211,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40212,40212,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40212,Salamanca,PA040212,,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40213,40213,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40213,San Juan,PA040213,San Juan,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40214,40214,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:402,1603:45:16:591:3:40214,Santa Rosa,PA040214,Santa Rosa,,,Colón,PA0402,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:40301,40301,1603:45:16:591:0,1603:45:16:591:1:4,1603:45:16:591:2:403,1603:45:16:591:3:40301,Coclé del Norte,PA040301,Cocle del Norte,,,Donoso,PA0403,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
