qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:231:1:1,1,1603:45:16:231:0,1603:45:16:231:1:1,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:2,2,1603:45:16:231:0,1603:45:16:231:1:2,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:3,3,1603:45:16:231:0,1603:45:16:231:1:3,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:4,4,1603:45:16:231:0,1603:45:16:231:1:4,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:5,5,1603:45:16:231:0,1603:45:16:231:1:5,Somali,ET05,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:6,6,1603:45:16:231:0,1603:45:16:231:1:6,Benishangul Gumz,ET06,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:7,7,1603:45:16:231:0,1603:45:16:231:1:7,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:11,11,1603:45:16:231:0,1603:45:16:231:1:11,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:12,12,1603:45:16:231:0,1603:45:16:231:1:12,Gambela,ET12,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:13,13,1603:45:16:231:0,1603:45:16:231:1:13,Harari,ET13,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:14,14,1603:45:16:231:0,1603:45:16:231:1:14,Addis Ababa,ET14,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:15,15,1603:45:16:231:0,1603:45:16:231:1:15,Dire Dawa,ET15,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:16,16,1603:45:16:231:0,1603:45:16:231:1:16,Sidama,ET16,Ethiopia,ET,2020-10-13,2021-12-16,
