#item+id,#item+name,#item+start,#item+end
1632,ARABIC-INDIC,'0660','0669'
1776,EXTENDED ARABIC-INDIC,'06F0','06F9'
1984,NKO,'07C0','07C9'
2406,DEVANAGARI,'0966','096F'
2534,BENGALI,'09E6','09EF'
2662,GURMUKHI,'0A66','0A6F'
2790,GUJARATI,'0AE6','0AEF'
2918,ORIYA,'0B66','0B6F'
3046,TAMIL,'0BE6','0BEF'
3174,TELUGU,'0C66','0C6F'
3302,KANNADA,'0CE6','0CEF'
3430,MALAYALAM,'0D66','0D6F'
3558,SINHALA LITH,'0DE6','0DEF'
3664,THAI,'0E50','0E59'
3792,LAO,'0ED0','0ED9'
3872,TIBETAN,'0F20','0F29'
4160,MYANMAR,'1040','1049'
4240,MYANMAR SHAN,'1090','1099'
6112,KHMER,'17E0','17E9'
6160,MONGOLIAN,'1810','1819'
6470,LIMBU,'1946','194F'
6608,NEW TAI LUE,'19D0','19D9'
6784,TAI THAM HORA,'1A80','1A89'
6800,TAI THAM THAM,'1A90','1A99'
6992,BALINESE,'1B50','1B59'
7088,SUNDANESE,'1BB0','1BB9'
7232,LEPCHA,'1C40','1C49'
7248,OL CHIKI,'1C50','1C59'
42528,VAI,'A620','A629'
43216,SAURASHTRA,'A8D0','A8D9'
43264,KAYAH LI,'A900','A909'
43472,JAVANESE,'A9D0','A9D9'
43504,MYANMAR TAI LAING,'A9F0','A9F9'
43600,CHAM,'AA50','AA59'
44016,MEETEI MAYEK,'ABF0','ABF9'
65296,FULLWIDTH,'FF10','FF19'
66720,OSMANYA,'104A0','104A9'
68912,HANIFI ROHINGYA,'10D30','10D39'
69734,BRAHMI,'11066','1106F'
69872,SORA SOMPENG,'110F0','110F9'
69942,CHAKMA,'11136','1113F'
70096,SHARADA,'111D0','111D9'
70384,KHUDAWADI,'112F0','112F9'
70736,NEWA,'11450','11459'
70864,TIRHUTA,'114D0','114D9'
71248,MODI,'11650','11659'
71360,TAKRI,'116C0','116C9'
71472,AHOM,'11730','11739'
71904,WARANG CITI,'118E0','118E9'
72016,DIVES AKURU,'11950','11959'
72784,BHAIKSUKI,'11C50','11C59'
73040,MASARAM GONDI,'11D50','11D59'
73120,GUNJALA GONDI,'11DA0','11DA9'
92768,MRO,'16A60','16A69'
92864,TANGSA,'16AC0','16AC9'
93008,PAHAWH HMONG,'16B50','16B59'
123200,NYIAKENG PUACHUE HMONG,'1E140','1E149'
123632,WANCHO,'1E2F0','1E2F9'
125264,ADLAM,'1E950','1E959'
130032,SEGMENTED,'1FBF0','1FBF9'
