qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,rus-Cyrl-r-pSKOS-pprefLabel-ps5002,uzb-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,rus-Cyrl-r-pSKOS-pprefLabel-ps5001,uzb-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,rus-Cyrl-r-pSKOS-pprefLabel-ps5000,uzb-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:860:2:18406,18406,1603:45:16:860:0,1603:45:16:860:1:18,1603:45:16:860:2:18406,Kattakurgan city,г.Каттакурган,Kattaqo'rg'on ш.,UZ18406,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22201,22201,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22201,Altinsay,Алтынсайский,Oltinsoy,UZ22201,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22202,22202,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22202,Angor,Ангорский,Angor,UZ22202,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22204,22204,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22204,Baysun,Байсунский,Boysun,UZ22204,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22207,22207,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22207,Muzrabad,Музрабадский,Muzrabot,UZ22207,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22210,22210,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22210,Denau,Денауский,Denov,UZ22210,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22212,22212,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22212,Dzharkurgan,Джаркурганский,Jarqo'rg'on,UZ22212,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22214,22214,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22214,Kumkurgan,Кумкурганский,Qumqo'rg'on,UZ22214,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22215,22215,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22215,Kizirik,Кизирикский,Qiziriq,UZ22215,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22217,22217,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22217,Sariasiya,Сариасийский,Sariosiyo,UZ22217,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22220,22220,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22220,Termez,Термезский,Termiz,UZ22220,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22221,22221,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22221,Uzun,Узунский,Uzun,UZ22221,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22223,22223,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22223,Sherabad,Шерабадский,Sherobod,UZ22223,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22226,22226,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22226,Shurchi,Шурчинский,Sho'rchi,UZ22226,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:22401,22401,1603:45:16:860:0,1603:45:16:860:1:22,1603:45:16:860:2:22401,Termez city,г.Термез,Termiz ш.,UZ22401,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24206,24206,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24206,Akaltin,Акалтынский,Oqoltin,UZ24206,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24212,24212,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24212,Bayaut,Баяутский,Boyovut,UZ24212,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24216,24216,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24216,Saykhunabad,Сайхунабадский,Sayxunobod,UZ24216,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24220,24220,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24220,Gulistan,Гулистанский,Guliston,UZ24220,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24226,24226,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24226,Sardoba,Сардобский,Sardoba,UZ24226,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24228,24228,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24228,Mirzaabad,Мирзаабадский,Mirzaobod,UZ24228,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24231,24231,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24231,Sirdarya,Сырдарьинский,Sirdaryo,UZ24231,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24235,24235,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24235,Khavas,Хавасский,Xovos,UZ24235,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24401,24401,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24401,Gulistan city,г.Гулистан,Guliston ш.,UZ24401,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24410,24410,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24410,Shirin city,г.Шиpин,Shirin ш.,UZ24410,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:24413,24413,1603:45:16:860:0,1603:45:16:860:1:24,1603:45:16:860:2:24413,Yangiyer city,г.Янгиеp,Yangiyer ш.,UZ24413,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26262,26262,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26262,Uchtepa,Учтепинский,Uchtepa,UZ26262,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26264,26264,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26264,Bektemir,Бектемирский,Bektemir,UZ26264,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26266,26266,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26266,Yunusabad,Юнусабадский,Yunusobod,UZ26266,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26269,26269,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26269,Mirzo Ulugbek,Мирзо-Улугбекский,Mirzo Ulug'bek,UZ26269,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26273,26273,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26273,Mirabad,Мирабадский,Mirobod,UZ26273,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26277,26277,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26277,Shaykhantokhur,Шайхантахурский,Shayxontoxur,UZ26277,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26280,26280,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26280,Almazar,Алмазарский,Olmazor,UZ26280,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26283,26283,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26283,Sergeli,Сергелийский,Sirg'ali,UZ26283,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26287,26287,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26287,Yakkasaray,Яккасарайский,Yakkasaroy,UZ26287,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26290,26290,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26290,Yashnobod,Яшнободский,Yashnobod,UZ26290,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:26294,26294,1603:45:16:860:0,1603:45:16:860:1:26,1603:45:16:860:2:26294,Chilanzar,Чиланзарский,Chilonzor,UZ26294,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27206,27206,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27206,Akkurgan,Аккурганский,Oqqo'rg'on,UZ27206,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27212,27212,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27212,Akhangaran,Ахангаранский,Ohangaron,UZ27212,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27220,27220,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27220,Bekabad,Бекабадский,Bekobod,UZ27220,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27224,27224,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27224,Bostanlik,Бостанлыкский,Bo'stonliq,UZ27224,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27228,27228,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27228,Buka,Букинский,Bo'ka,UZ27228,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27233,27233,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27233,Kuyichirchik,Куйичирчикский,Qiyichirchiq,UZ27233,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27237,27237,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27237,Zangiata,Зангиатинский,Zangiota,UZ27237,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27239,27239,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27239,Yukarichirchik,Юкоричирчикский,Yuqorichirchiq,UZ27239,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27248,27248,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27248,Kibray,Кибрайский,Qibray,UZ27248,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27249,27249,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27249,Parkent,Паркентский,Parkent,UZ27249,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27250,27250,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27250,Pskent,Пскентский,Pskent,UZ27250,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27253,27253,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27253,Urtachirchik,Уртачирчикский,O'rtachirchiq,UZ27253,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27256,27256,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27256,Chinaz,Чиназский,Chinoz,UZ27256,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27259,27259,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27259,Yangiyul,Янгиюльский,Yangiyo'l,UZ27259,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27265,27265,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27265,Tashkent,Ташкентский,Toshkent,UZ27265,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27401,27401,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27401,Nurafshon city,г.Нурафшон,Nurafshon ш.,UZ27401,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27404,27404,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27404,Almalik city,г.Алмалык,Olmaliq ш.,UZ27404,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27407,27407,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27407,Angren city,г.Ангрен,Angren ш.,UZ27407,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27413,27413,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27413,Bekabad city,г.Бекабад,Bekobod ш.,UZ27413,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27415,27415,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27415,Akhangaran city,г.Ахангаран,Ohangaron ш.,UZ27415,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27419,27419,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27419,Chirchik city,г.Чиpчик,Chirchiq ш.,UZ27419,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:27424,27424,1603:45:16:860:0,1603:45:16:860:1:27,1603:45:16:860:2:27424,Yangiyul city,г.Янгиюль,Yangiyo'l ш.,UZ27424,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30203,30203,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30203,Altiarik,Алтыарыкский,Oltiariq,UZ30203,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30206,30206,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30206,Kushtepa,Куштепинский,Qo'shtepa,UZ30206,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30209,30209,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30209,Bagdad,Багдадский,Bog'dod,UZ30209,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30212,30212,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30212,Buvayda,Бувайдинский,Buvayda,UZ30212,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30215,30215,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30215,Besharik,Бешарыкский,Beshariq,UZ30215,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30218,30218,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30218,Kuva,Кувинский,Quva,UZ30218,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30221,30221,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30221,Uchkuprik,Учкуприкский,Uchko'prik,UZ30221,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30224,30224,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30224,Rishtan,Риштанский,Rishton,UZ30224,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30226,30226,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30226,Sokh,Сохский,So'x,UZ30226,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30227,30227,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30227,Tashlak,Ташлакский,Toshloq,UZ30227,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30230,30230,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30230,Uzbekistan,Узбекистанский,O'zbekiston,UZ30230,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30233,30233,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30233,Fergana,Ферганский,Farg'ona,UZ30233,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30236,30236,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30236,Dangara,Дангаринский,Dang'ara,UZ30236,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30238,30238,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30238,Furkat,Фуркатский,Furqat,UZ30238,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30242,30242,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30242,Yazyavan,Язъяванский,Yozyovon,UZ30242,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30401,30401,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30401,Fergana city,г.Фергана,Farg'ona ш.,UZ30401,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30405,30405,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30405,Kokand city,г.Коканд,Qo'qon ш.,UZ30405,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30408,30408,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30408,Kuvasay city,г.Кувасай,Quvasoy ш.,UZ30408,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:30412,30412,1603:45:16:860:0,1603:45:16:860:1:30,1603:45:16:860:2:30412,Margilan city,г.Маpгилан,Marg'ilon ш.,UZ30412,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33204,33204,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33204,Bagat,Багатский,Bog'ot,UZ33204,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33208,33208,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33208,Gurlen,Гурленский,Gurlan,UZ33208,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33212,33212,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33212,Koshkupir,Кошкупырский,Qo'shko'pir,UZ33212,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33217,33217,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33217,Urgench,Ургенчский,Urganch,UZ33217,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33220,33220,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33220,Khazarasp,Хазараспский,Xazorasp,UZ33220,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:33223,33223,1603:45:16:860:0,1603:45:16:860:1:33,1603:45:16:860:2:33223,Khanka,Ханкинский,Xonqa,UZ33223,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
