#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:584:1:1,1,Ailinglaplap,MH01,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:2,2,Ailuk,MH02,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:3,3,Arno,MH03,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:4,4,Aur,MH04,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:5,5,Eneu,MH05,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:6,6,Ebon,MH06,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:7,7,Enewetak,MH07,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:8,8,Jabat,MH08,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:9,9,Jaluit,MH09,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:10,10,Kili,MH10,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:11,11,Kwajalein,MH11,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:12,12,Lae,MH12,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:13,13,Lib,MH13,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:14,14,Likiep,MH14,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:15,15,Majuro,MH15,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:16,16,Maloelap,MH16,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:17,17,Mejit,MH17,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:18,18,Mili,MH18,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:19,19,Namdrik,MH19,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:20,20,Namu,MH20,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:21,21,Rongelap,MH21,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:22,22,Ujae,MH22,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:24,24,Utirik,MH24,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:25,25,Wotho,MH25,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
1603:45:16:584:1:26,26,Wotje,MH26,,,,Republic of the Marshall Islands,MH,2018-07-18,2018-07-18,
