#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:148:2:101,101,1603:45:16:148:0,1603:45:16:148:1:1,1603:45:16:148:2:101,Batha Ouest,TD0101,Batha Ouest,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:102,102,1603:45:16:148:0,1603:45:16:148:1:1,1603:45:16:148:2:102,Batha Est,TD0102,Batha Est,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:103,103,1603:45:16:148:0,1603:45:16:148:1:1,1603:45:16:148:2:103,Fitri,TD0103,Fitri,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:201,201,1603:45:16:148:0,1603:45:16:148:1:2,1603:45:16:148:2:201,Borkou,TD0201,Borkou,,,Borkou,TD02,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:202,202,1603:45:16:148:0,1603:45:16:148:1:2,1603:45:16:148:2:202,Borkou Yala,TD0202,Borkou Yala,,,Borkou,TD02,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:301,301,1603:45:16:148:0,1603:45:16:148:1:3,1603:45:16:148:2:301,Baguirmi,TD0301,Baguirmi,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:302,302,1603:45:16:148:0,1603:45:16:148:1:3,1603:45:16:148:2:302,Chari,TD0302,Chari,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:303,303,1603:45:16:148:0,1603:45:16:148:1:3,1603:45:16:148:2:303,Loug-Chari,TD0303,Loug-Chari,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:401,401,1603:45:16:148:0,1603:45:16:148:1:4,1603:45:16:148:2:401,Guéra,TD0401,Guera,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:402,402,1603:45:16:148:0,1603:45:16:148:1:4,1603:45:16:148:2:402,Abtouyour,TD0402,Abtouyour,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:403,403,1603:45:16:148:0,1603:45:16:148:1:4,1603:45:16:148:2:403,Barh-Signaka,TD0403,Barh-Signaka,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:404,404,1603:45:16:148:0,1603:45:16:148:1:4,1603:45:16:148:2:404,Mangalmé,TD0404,Mangalme,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:501,501,1603:45:16:148:0,1603:45:16:148:1:5,1603:45:16:148:2:501,Dagana,TD0501,Dagana,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:502,502,1603:45:16:148:0,1603:45:16:148:1:5,1603:45:16:148:2:502,Dababa,TD0502,Dababa,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:503,503,1603:45:16:148:0,1603:45:16:148:1:5,1603:45:16:148:2:503,Haraze-Al-Biar,TD0503,Haraze-Al-Biar,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:601,601,1603:45:16:148:0,1603:45:16:148:1:6,1603:45:16:148:2:601,Kanem,TD0601,Kanem,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:602,602,1603:45:16:148:0,1603:45:16:148:1:6,1603:45:16:148:2:602,Nord Kanem,TD0602,Nord Kanem,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:603,603,1603:45:16:148:0,1603:45:16:148:1:6,1603:45:16:148:2:603,Wadi Bissam,TD0603,Wadi-Bissam,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:701,701,1603:45:16:148:0,1603:45:16:148:1:7,1603:45:16:148:2:701,Mamdi,TD0701,Mamdi,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:702,702,1603:45:16:148:0,1603:45:16:148:1:7,1603:45:16:148:2:702,Wayi,TD0702,Wayi,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:703,703,1603:45:16:148:0,1603:45:16:148:1:7,1603:45:16:148:2:703,Kaya,TD0703,Kaya,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:704,704,1603:45:16:148:0,1603:45:16:148:1:7,1603:45:16:148:2:704,Fouli,TD0704,Fouli,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:801,801,1603:45:16:148:0,1603:45:16:148:1:8,1603:45:16:148:2:801,Lac Wey,TD0801,Lac Wey,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:802,802,1603:45:16:148:0,1603:45:16:148:1:8,1603:45:16:148:2:802,Dodjé,TD0802,Dodje,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:803,803,1603:45:16:148:0,1603:45:16:148:1:8,1603:45:16:148:2:803,Guéni,TD0803,Gueni,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:804,804,1603:45:16:148:0,1603:45:16:148:1:8,1603:45:16:148:2:804,Ngourkosso,TD0804,Ngourkosso,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:901,901,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:901,La Pendé,TD0901,La Pende,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:902,902,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:902,Kouh Est,TD0902,Kouh Est,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:903,903,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:903,Kouh Ouest,TD0903,Kouh Ouest,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:904,904,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:904,La Nya,TD0904,La Nya,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:905,905,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:905,La Nya Pendé,TD0905,La Nya Pende,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:906,906,1603:45:16:148:0,1603:45:16:148:1:9,1603:45:16:148:2:906,Monts de Lam,TD0906,Monts de Lam,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1001,1001,1603:45:16:148:0,1603:45:16:148:1:10,1603:45:16:148:2:1001,Mandoul Oriental,TD1001,Mandoul Oriental,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1002,1002,1603:45:16:148:0,1603:45:16:148:1:10,1603:45:16:148:2:1002,Barh-Sara,TD1002,Barh-Sara,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1003,1003,1603:45:16:148:0,1603:45:16:148:1:10,1603:45:16:148:2:1003,Mandoul Occidental,TD1003,Mandoul Occidental,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1101,1101,1603:45:16:148:0,1603:45:16:148:1:11,1603:45:16:148:2:1101,Mayo-Boneye,TD1101,Mayo-Boneye,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1102,1102,1603:45:16:148:0,1603:45:16:148:1:11,1603:45:16:148:2:1102,Kabbia,TD1102,Kabbia,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1103,1103,1603:45:16:148:0,1603:45:16:148:1:11,1603:45:16:148:2:1103,Mayo-Lemié,TD1103,Mayo-Lemie,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1104,1104,1603:45:16:148:0,1603:45:16:148:1:11,1603:45:16:148:2:1104,Mont Illi,TD1104,Mont Illi,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1201,1201,1603:45:16:148:0,1603:45:16:148:1:12,1603:45:16:148:2:1201,Mayo-Dallah,TD1201,Mayo-Dallah,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1202,1202,1603:45:16:148:0,1603:45:16:148:1:12,1603:45:16:148:2:1202,Lac Léré,TD1202,Lac Lere,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1203,1203,1603:45:16:148:0,1603:45:16:148:1:12,1603:45:16:148:2:1203,Mayo-Binder,TD1203,Mayo-Binder,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1301,1301,1603:45:16:148:0,1603:45:16:148:1:13,1603:45:16:148:2:1301,Bahr-Köh,TD1301,Bahr-Koh,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
1603:45:16:148:2:1302,1302,1603:45:16:148:0,1603:45:16:148:1:13,1603:45:16:148:2:1302,Grande Sido,TD1302,Grande Sido,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
