#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:686:1:1,1,1603:45:16:686:0,1603:45:16:686:1:1,Dakar,SN01,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:2,2,1603:45:16:686:0,1603:45:16:686:1:2,Diourbel,SN02,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:3,3,1603:45:16:686:0,1603:45:16:686:1:3,Fatick,SN03,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:4,4,1603:45:16:686:0,1603:45:16:686:1:4,Kaffrine,SN04,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:5,5,1603:45:16:686:0,1603:45:16:686:1:5,Kaolack,SN05,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:6,6,1603:45:16:686:0,1603:45:16:686:1:6,Kedougou,SN06,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:7,7,1603:45:16:686:0,1603:45:16:686:1:7,Kolda,SN07,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:8,8,1603:45:16:686:0,1603:45:16:686:1:8,Louga,SN08,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:9,9,1603:45:16:686:0,1603:45:16:686:1:9,Matam,SN09,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:10,10,1603:45:16:686:0,1603:45:16:686:1:10,Saint Louis,SN10,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:11,11,1603:45:16:686:0,1603:45:16:686:1:11,Sedhiou,SN11,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:12,12,1603:45:16:686:0,1603:45:16:686:1:12,Tambacounda,SN12,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:13,13,1603:45:16:686:0,1603:45:16:686:1:13,Thies,SN13,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:14,14,1603:45:16:686:0,1603:45:16:686:1:14,Ziguinchor,SN14,,,,Senegal,SN,2019-04-30,2022-01-04,
