#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:686:1:1,1,Dakar,SN01,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:2,2,Diourbel,SN02,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:3,3,Fatick,SN03,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:4,4,Kaffrine,SN04,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:5,5,Kaolack,SN05,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:6,6,Kedougou,SN06,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:7,7,Kolda,SN07,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:8,8,Louga,SN08,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:9,9,Matam,SN09,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:10,10,Saint Louis,SN10,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:11,11,Sedhiou,SN11,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:12,12,Tambacounda,SN12,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:13,13,Thies,SN13,,,,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:14,14,Ziguinchor,SN14,,,,Senegal,SN,2019-04-30,2022-01-04,
