#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:604:1:1,1,1603:45:16:604:0,1603:45:16:604:1:1,Amazonas,PE01,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:2,2,1603:45:16:604:0,1603:45:16:604:1:2,Ancash,PE02,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:3,3,1603:45:16:604:0,1603:45:16:604:1:3,Apurimac,PE03,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:4,4,1603:45:16:604:0,1603:45:16:604:1:4,Arequipa,PE04,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:5,5,1603:45:16:604:0,1603:45:16:604:1:5,Ayacucho,PE05,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:6,6,1603:45:16:604:0,1603:45:16:604:1:6,Cajamarca,PE06,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:7,7,1603:45:16:604:0,1603:45:16:604:1:7,Callao,PE07,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:8,8,1603:45:16:604:0,1603:45:16:604:1:8,Cusco,PE08,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:9,9,1603:45:16:604:0,1603:45:16:604:1:9,Huancavelica,PE09,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:10,10,1603:45:16:604:0,1603:45:16:604:1:10,Huanuco,PE10,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:11,11,1603:45:16:604:0,1603:45:16:604:1:11,Ica,PE11,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:12,12,1603:45:16:604:0,1603:45:16:604:1:12,Junin,PE12,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:13,13,1603:45:16:604:0,1603:45:16:604:1:13,La Libertad,PE13,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:14,14,1603:45:16:604:0,1603:45:16:604:1:14,Lambayeque,PE14,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:15,15,1603:45:16:604:0,1603:45:16:604:1:15,Lima,PE15,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:16,16,1603:45:16:604:0,1603:45:16:604:1:16,Loreto,PE16,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:17,17,1603:45:16:604:0,1603:45:16:604:1:17,Madre de Dios,PE17,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:18,18,1603:45:16:604:0,1603:45:16:604:1:18,Moquegua,PE18,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:19,19,1603:45:16:604:0,1603:45:16:604:1:19,Pasco,PE19,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:20,20,1603:45:16:604:0,1603:45:16:604:1:20,Piura,PE20,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:21,21,1603:45:16:604:0,1603:45:16:604:1:21,Puno,PE21,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:22,22,1603:45:16:604:0,1603:45:16:604:1:22,San Martin,PE22,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:23,23,1603:45:16:604:0,1603:45:16:604:1:23,Tacna,PE23,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:24,24,1603:45:16:604:0,1603:45:16:604:1:24,Tumbes,PE24,,,,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:1:25,25,1603:45:16:604:0,1603:45:16:604:1:25,Ucayali,PE25,,,,Perú (el),PE,2015-07-24,2020-07-17,
