#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:678:1:1,1,1603:45:16:678:0,1603:45:16:678:1:1,Príncipe,ST01,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
1603:45:16:678:1:2,2,1603:45:16:678:0,1603:45:16:678:1:2,São Tomé,ST02,,,,São Tomé e Príncipe,ST,2020-08-17,2022-01-12,
