#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:583:2:101,101,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:101,Rumung,FM101,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:102,102,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:102,Maap,FM102,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:103,103,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:103,Gagil,FM103,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:104,104,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:104,Tomil,FM104,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:105,105,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:105,Fanif,FM105,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:106,106,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:106,Weloy,FM106,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:107,107,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:107,Dalipebinaw,FM107,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:108,108,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:108,Rull,FM108,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:109,109,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:109,Kanifay,FM109,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:110,110,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:110,Gilman,FM110,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:111,111,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:111,Ulithi,FM111,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:112,112,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:112,Fais,FM112,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:113,113,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:113,Ngulu,FM113,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:114,114,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:114,Woleai,FM114,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:115,115,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:115,Eauripik,FM115,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
1603:45:16:583:2:116,116,1603:45:16:583:0,1603:45:16:583:1:1,1603:45:16:583:2:116,Ifalik,FM116,,,,Yap,FM1,Federated States of Micronesia,FM,2019-06-17,2019-06-17,
