qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:72:1:1,1,1603:45:16:72:0,1603:45:16:72:1:1,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:2,2,1603:45:16:72:0,1603:45:16:72:1:2,Francistown,BW02,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:3,3,1603:45:16:72:0,1603:45:16:72:1:3,Lobatse,BW03,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:4,4,1603:45:16:72:0,1603:45:16:72:1:4,Selibe Phikwe,BW04,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:5,5,1603:45:16:72:0,1603:45:16:72:1:5,Orapa,BW05,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:6,6,1603:45:16:72:0,1603:45:16:72:1:6,Jwaneng,BW06,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:7,7,1603:45:16:72:0,1603:45:16:72:1:7,Sowa Town,BW07,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:8,8,1603:45:16:72:0,1603:45:16:72:1:8,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:9,9,1603:45:16:72:0,1603:45:16:72:1:9,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:10,10,1603:45:16:72:0,1603:45:16:72:1:10,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:11,11,1603:45:16:72:0,1603:45:16:72:1:11,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:12,12,1603:45:16:72:0,1603:45:16:72:1:12,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:13,13,1603:45:16:72:0,1603:45:16:72:1:13,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:14,14,1603:45:16:72:0,1603:45:16:72:1:14,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:15,15,1603:45:16:72:0,1603:45:16:72:1:15,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:16,16,1603:45:16:72:0,1603:45:16:72:1:16,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:1:17,17,1603:45:16:72:0,1603:45:16:72:1:17,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
