#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:231:3:10202,10202,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10202,Aheferom,ET010202,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10203,10203,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10203,Edaga arbi,ET010203,,Endbatsahma,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10204,10204,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10204,Adwa,ET010204,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10205,10205,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10205,Laelay Maychew,ET010205,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10206,10206,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10206,Tahtay Mayechew,ET010206,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10207,10207,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10207,Adet,ET010207,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10208,10208,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10208,Kola Temben,ET010208,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10209,10209,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10209,Naeder,ET010209,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10210,10210,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10210,Abergele (TG),ET010210,,Abergele Yechila,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10211,10211,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10211,Abi Adi town,ET010211,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10212,10212,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10212,Adwa town,ET010212,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10213,10213,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10213,Axum town,ET010213,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10214,10214,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10214,Rama,ET010214,,Rama Adi Arbaeta,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10215,10215,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10215,Ahsea,ET010215,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10216,10216,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10216,Egela,ET010216,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10217,10217,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10217,Hahayle,ET010217,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10218,10218,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10218,Endafelasi,ET010218,,Maikinetal,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10219,10219,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10219,Emba Sieneti,ET010219,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10220,10220,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10220,Enticho town,ET010220,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10221,10221,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10221,Keyhe tekli,ET010221,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10222,10222,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:102,1603:45:16:231:3:10222,Tanqua Melashe,ET010222,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10301,10301,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10301,Gulo Mekeda,ET010301,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10302,10302,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10302,Erob,ET010302,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10303,10303,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10303,Saesie,ET010303,,Sewha,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10304,10304,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10304,Ganta Afeshum,ET010304,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10305,10305,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10305,Hawzen,ET010305,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10306,10306,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10306,Kelete Awelallo,ET010306,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10307,10307,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10307,Atsbi,ET010307,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10308,10308,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:103,1603:45:16:231:3:10308,Adigrat town,ET010308,,,,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
