#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:231:3:30716,30716,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30716,Shendi town,ET030716,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30717,30717,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30717,Denbecha town,ET030717,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30718,30718,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30718,Gonje,ET030718,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30719,30719,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30719,Dure Bete,ET030719,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30720,30720,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30720,Jiga town,ET030720,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30797,30797,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30797,Merawi town,ET030797,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30798,30798,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30798,Bure town,ET030798,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30799,30799,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:307,1603:45:16:231:3:30799,Adete town,ET030799,,,,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30801,30801,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30801,Zequala,ET030801,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30802,30802,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30802,Sekota,ET030802,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30803,30803,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30803,Dehana,ET030803,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30804,30804,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30804,Gaz Gibla,ET030804,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30805,30805,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30805,Abergele (AM),ET030805,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30806,30806,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30806,Sahila,ET030806,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30807,30807,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30807,Sekota town,ET030807,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30808,30808,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30808,Tsagbeji,ET030808,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30809,30809,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:308,1603:45:16:231:3:30809,Amde Work town,ET030809,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30901,30901,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30901,Dangila,ET030901,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30902,30902,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30902,Banja,ET030902,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30903,30903,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30903,Ankasha,ET030903,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30904,30904,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30904,Guangua,ET030904,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30905,30905,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30905,Fagta Lakoma,ET030905,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30906,30906,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30906,Jawi,ET030906,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30907,30907,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30907,Guagusa Shikudad,ET030907,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30908,30908,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30908,Ayehu Guwagusa,ET030908,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30909,30909,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30909,Agew Gimija Bet,ET030909,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30910,30910,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30910,Adiss Kidame town,ET030910,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30911,30911,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30911,Tilili town,ET030911,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30912,30912,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30912,Fendika town,ET030912,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30996,30996,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30996,Injibara town,ET030996,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30997,30997,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30997,Zigem,ET030997,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30998,30998,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30998,Dangila town,ET030998,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:30999,30999,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:309,1603:45:16:231:3:30999,Chagni town,ET030999,,,,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31001,31001,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31001,Dewa Cheffa,ET031001,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31002,31002,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31002,Bati,ET031002,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31003,31003,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31003,Jilye Tumuga,ET031003,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31004,31004,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31004,Artuma Fursi,ET031004,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31005,31005,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31005,Dewa Harewa,ET031005,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31006,31006,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31006,Kemisie town,ET031006,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31007,31007,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31007,Chef Robit town,ET031007,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31008,31008,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31008,Senbete town,ET031008,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31099,31099,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:310,1603:45:16:231:3:31099,Bati Town,ET031099,,,,Oromia,ET0310,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31103,31103,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31103,Amba Giorgis town,ET031103,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31104,31104,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31104,Shawra town,ET031104,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31105,31105,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31105,Kolla Debba town,ET031105,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31106,31106,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31106,Chilga 1,ET031106,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31107,31107,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31107,Tegede,ET031107,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31108,31108,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31108,Lay Armacho,ET031108,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31109,31109,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31109,Wegera,ET031109,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31110,31110,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31110,Gonder Zuria,ET031110,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31111,31111,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31111,East Dembia,ET031111,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31112,31112,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31112,Chilga 2,ET031112,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31115,31115,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31115,Alefa,ET031115,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31116,31116,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31116,West Belesa,ET031116,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31117,31117,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31117,East Belesa,ET031117,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31118,31118,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31118,Gondar town,ET031118,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31119,31119,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31119,Masero Denb /Central Armacho,ET031119,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31120,31120,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31120,Tach Armacho,ET031120,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31121,31121,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31121,Takusa,ET031121,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31122,31122,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31122,Kinfaz Begela,ET031122,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31125,31125,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31125,West Dembiya,ET031125,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31199,31199,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:311,1603:45:16:231:3:31199,Aykel town,ET031199,,,,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31205,31205,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31205,Adagn Ager Chaqo,ET031205,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31206,31206,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31206,Mirab Armacho,ET031206,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31213,31213,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31213,Metema,ET031213,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31214,31214,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31214,Quara,ET031214,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31223,31223,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31223,Midre Genet,ET031223,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31224,31224,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31224,Metema Yohanes town,ET031224,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:31292,31292,1603:45:16:231:0,1603:45:16:231:1:3,1603:45:16:231:2:312,1603:45:16:231:3:31292,Gendawuha town,ET031292,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40101,40101,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40101,Mana Sibu,ET040101,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40102,40102,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40102,Nejo,ET040102,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40103,40103,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40103,Gimbi,ET040103,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40104,40104,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40104,Lalo Asabi,ET040104,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40105,40105,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40105,Kiltu Kara,ET040105,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40106,40106,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40106,Boji Dirmeji,ET040106,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40107,40107,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40107,Ayira,ET040107,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40108,40108,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40108,Jarso (West Wellega),ET040108,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40109,40109,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40109,Gudetu Kondole,ET040109,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40110,40110,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40110,Boji Chekorsa,ET040110,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40111,40111,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40111,Babo,ET040111,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40112,40112,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40112,Yubdo,ET040112,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40113,40113,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40113,Gaji,ET040113,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40114,40114,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40114,Haru,ET040114,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40115,40115,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40115,Nole Kaba,ET040115,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40116,40116,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40116,Begi,ET040116,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40117,40117,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40117,Homa,ET040117,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40118,40118,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40118,Sayo Nole,ET040118,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40119,40119,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40119,Guliso,ET040119,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40193,40193,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40193,Gimbi town,ET040193,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40197,40197,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40197,Leta Sibu,ET040197,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40198,40198,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40198,Mendi town,ET040198,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40199,40199,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:401,1603:45:16:231:3:40199,Nejo town,ET040199,,,,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40201,40201,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40201,Limu (OR),ET040201,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40202,40202,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40202,Ibantu,ET040202,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40203,40203,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40203,Gida Ayana,ET040203,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40204,40204,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40204,Haro Limu,ET040204,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40205,40205,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40205,Boneya Boshe,ET040205,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40206,40206,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40206,Wayu Tuka,ET040206,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40207,40207,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40207,Bila Seyo,ET040207,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40208,40208,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40208,Gobu Seyo,ET040208,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40209,40209,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40209,Sibu Sire,ET040209,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:40210,40210,1603:45:16:231:0,1603:45:16:231:1:4,1603:45:16:231:2:402,1603:45:16:231:3:40210,Diga,ET040210,,,,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2020-10-13,2021-12-16,
