#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:116:1:1,1,1603:45:16:116:0,1603:45:16:116:1:1,Banteay Meanchey,KH01,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:2,2,1603:45:16:116:0,1603:45:16:116:1:2,Battambang,KH02,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:3,3,1603:45:16:116:0,1603:45:16:116:1:3,Kampong Cham,KH03,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:4,4,1603:45:16:116:0,1603:45:16:116:1:4,Kampong Chhnang,KH04,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:5,5,1603:45:16:116:0,1603:45:16:116:1:5,Kampong Speu,KH05,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:6,6,1603:45:16:116:0,1603:45:16:116:1:6,Kampong Thom,KH06,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:7,7,1603:45:16:116:0,1603:45:16:116:1:7,Kampot,KH07,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:8,8,1603:45:16:116:0,1603:45:16:116:1:8,Kandal,KH08,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:9,9,1603:45:16:116:0,1603:45:16:116:1:9,Koh Kong,KH09,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:10,10,1603:45:16:116:0,1603:45:16:116:1:10,Kratie,KH10,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:11,11,1603:45:16:116:0,1603:45:16:116:1:11,Mondul Kiri,KH11,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:12,12,1603:45:16:116:0,1603:45:16:116:1:12,Phnom Penh,KH12,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:13,13,1603:45:16:116:0,1603:45:16:116:1:13,Preah Vihear,KH13,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:14,14,1603:45:16:116:0,1603:45:16:116:1:14,Prey Veng,KH14,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:15,15,1603:45:16:116:0,1603:45:16:116:1:15,Pursat,KH15,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:16,16,1603:45:16:116:0,1603:45:16:116:1:16,Ratanak Kiri,KH16,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:17,17,1603:45:16:116:0,1603:45:16:116:1:17,Siemreap,KH17,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:18,18,1603:45:16:116:0,1603:45:16:116:1:18,Preah Sihanouk,KH18,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:19,19,1603:45:16:116:0,1603:45:16:116:1:19,Stung Treng,KH19,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:20,20,1603:45:16:116:0,1603:45:16:116:1:20,Svay Rieng,KH20,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:21,21,1603:45:16:116:0,1603:45:16:116:1:21,Takeo,KH21,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:22,22,1603:45:16:116:0,1603:45:16:116:1:22,Oddar Meanchey,KH22,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:23,23,1603:45:16:116:0,1603:45:16:116:1:23,Kep,KH23,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:24,24,1603:45:16:116:0,1603:45:16:116:1:24,Pailin,KH24,,,,Cambodia,KH,2014-10-14,2018-10-16,
1603:45:16:116:1:25,25,1603:45:16:116:0,1603:45:16:116:1:25,Tboung Khmum,KH25,,,,Cambodia,KH,2014-10-14,2018-10-16,
