#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_spa+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:862:3:10101,10101,Altagracia,,VE010101,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10102,10102,Antimano,,VE010102,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10103,10103,Candelaria,,VE010103,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10104,10104,Caricuao,,VE010104,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10105,10105,Catedral,,VE010105,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10106,10106,Coche,,VE010106,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10107,10107,El Junquito,,VE010107,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10108,10108,El Paraiso,,VE010108,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10109,10109,El Recreo,,VE010109,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10110,10110,El Valle,,VE010110,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10111,10111,La Pastora,,VE010111,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10112,10112,La Vega,,VE010112,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10113,10113,Macarao,,VE010113,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10114,10114,San Agustin,,VE010114,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10115,10115,San Benardino,,VE010115,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10116,10116,San Jose,,VE010116,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10117,10117,San Juan,,VE010117,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10118,10118,San Pedro,,VE010118,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10119,10119,Santa Rosalia,,VE010119,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10120,10120,Santa Teresa,,VE010120,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10121,10121,Sucre,,VE010121,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:10122,10122,23 De Enero,,VE010122,,,,,,Libertador,,VE0101,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20100,20100,Autonomo Alto Orinoco,,VE020100,,,,,,Autonomo Alto Orinoco,,VE0201,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20200,20200,Autonomo Atabapo,,VE020200,,,,,,Autonomo Atabapo,,VE0202,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20300,20300,Autonomo Atures,,VE020300,,,,,,Autonomo Atures,,VE0203,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20400,20400,Autonomo Autana,,VE020400,,,,,,Autonomo Autana,,VE0204,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20500,20500,Autonomo Maroa,,VE020500,,,,,,Autonomo Maroa,,VE0205,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20600,20600,Autonomo Manapiare,,VE020600,,,,,,Autonomo Manapiare,,VE0206,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:20700,20700,Autonomo Rio Negro,,VE020700,,,,,,Autonomo Rio Negro,,VE0207,Amazonas,,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30101,30101,Capital Anaco,,VE030101,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30102,30102,San Joaquin,,VE030102,,,,,,Anaco,,VE0301,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30201,30201,Capital Aragua,,VE030201,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30202,30202,Cachipo,,VE030202,,,,,,Aragua,,VE0302,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30301,30301,Capital Fernando De Peñalv,,VE030301,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30302,30302,San Miguel,,VE030302,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30303,30303,Sucre,,VE030303,,,,,,Fernando De Peñalv,,VE0303,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30401,30401,Valle De Guanape,,VE030401,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30402,30402,Santa Barbara,,VE030402,,,,,,Francisco Del Carm,,VE0304,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30501,30501,Capital Francisco De Miran,,VE030501,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30502,30502,Atapirire,,VE030502,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30503,30503,Boca Del Pao,,VE030503,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30504,30504,El Pao,,VE030504,,,,,,Francisco De Miran,,VE0305,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30601,30601,Guanta,,VE030601,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30602,30602,Chorreron,,VE030602,,,,,,Guanta,,VE0306,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30701,30701,Capital Independencia,,VE030701,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30702,30702,Mamo,,VE030702,,,,,,Independencia,,VE0307,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30801,30801,Capital Puerto La Cruz,,VE030801,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30802,30802,Pozuelos,,VE030802,,,,,,Juan Antonio Sotil,,VE0308,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30901,30901,Capital Onoto,,VE030901,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:30902,30902,San Pablo,,VE030902,,,,,,Juan Manuel Cajiga,,VE0309,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:3:31001,31001,Capital Jose Gregorio Mona,,VE031001,,,,,,Jose Gregorio Mona,,VE0310,Anzoategui,,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
