qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:458:1:1,1,1603:45:16:458:0,1603:45:16:458:1:1,Johor,MY01,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:2,2,1603:45:16:458:0,1603:45:16:458:1:2,Kedeh,MY02,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:3,3,1603:45:16:458:0,1603:45:16:458:1:3,Kelantan,MY03,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:4,4,1603:45:16:458:0,1603:45:16:458:1:4,W.P. Kuala Lumpur,MY04,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:5,5,1603:45:16:458:0,1603:45:16:458:1:5,W.P. Labuan,MY05,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:6,6,1603:45:16:458:0,1603:45:16:458:1:6,Melaka,MY06,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:7,7,1603:45:16:458:0,1603:45:16:458:1:7,Negeri,MY07,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:8,8,1603:45:16:458:0,1603:45:16:458:1:8,Pahang,MY08,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:9,9,1603:45:16:458:0,1603:45:16:458:1:9,Perak,MY09,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:10,10,1603:45:16:458:0,1603:45:16:458:1:10,Perlis,MY10,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:11,11,1603:45:16:458:0,1603:45:16:458:1:11,Pulau Pinang,MY11,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:12,12,1603:45:16:458:0,1603:45:16:458:1:12,Sabah,MY12,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:13,13,1603:45:16:458:0,1603:45:16:458:1:13,Sarawak,MY13,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:15,15,1603:45:16:458:0,1603:45:16:458:1:15,Terengganu,MY15,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:16,16,1603:45:16:458:0,1603:45:16:458:1:16,W.P. Putrajaya,MY16,Malaysia,MY,2019-12-02,2021-02-15,
1603:45:16:458:1:17,17,1603:45:16:458:0,1603:45:16:458:1:17,Selangor,MY17,Malaysia,MY,2019-12-02,2021-02-15,
