#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:776:3:1101,1101,Kolofo'ou,TO1101,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1102,1102,Ma'ufanga,TO1102,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1103,1103,Nukumotu,TO1103,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1105,1105,Popua,TO1105,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1106,1106,Tukutonga,TO1106,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1107,1107,Pangaimotu,TO1107,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1108,1108,Fafaa,TO1108,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1109,1109,Onevai,TO1109,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1110,1110,'Ataa,TO1110,,,,Kolofo'ou,TO11,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1201,1201,Kolomotu'a,TO1201,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1202,1202,Havelu,TO1202,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:3:1203,1203,Tofoa,TO1203,,,,Kolomotu'a,TO12,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
