#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:404:2:1001,1001,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1001,Changamwe,KE001001,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:1002,1002,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1002,Jomvu,KE001002,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:1003,1003,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1003,Kisauni,KE001003,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:1004,1004,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1004,Nyali,KE001004,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:1005,1005,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1005,Likoni,KE001005,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:1006,1006,1603:45:16:404:0,1603:45:16:404:1:1,1603:45:16:404:2:1006,Mvita,KE001006,,,,Mombasa,KE001,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:2007,2007,1603:45:16:404:0,1603:45:16:404:1:2,1603:45:16:404:2:2007,Msambweni,KE002007,,,,Kwale,KE002,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:2008,2008,1603:45:16:404:0,1603:45:16:404:1:2,1603:45:16:404:2:2008,Lunga Lunga,KE002008,,,,Kwale,KE002,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:2009,2009,1603:45:16:404:0,1603:45:16:404:1:2,1603:45:16:404:2:2009,Matuga,KE002009,,,,Kwale,KE002,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:2010,2010,1603:45:16:404:0,1603:45:16:404:1:2,1603:45:16:404:2:2010,Kinango,KE002010,,,,Kwale,KE002,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3011,3011,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3011,Kilifi North,KE003011,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3012,3012,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3012,Kilifi South,KE003012,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3013,3013,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3013,Kaloleni,KE003013,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3014,3014,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3014,Rabai,KE003014,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3015,3015,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3015,Ganze,KE003015,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3016,3016,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3016,Malindi,KE003016,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:3017,3017,1603:45:16:404:0,1603:45:16:404:1:3,1603:45:16:404:2:3017,Magarini,KE003017,,,,Kilifi,KE003,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:4018,4018,1603:45:16:404:0,1603:45:16:404:1:4,1603:45:16:404:2:4018,Garsen,KE004018,,,,Tana River,KE004,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:4019,4019,1603:45:16:404:0,1603:45:16:404:1:4,1603:45:16:404:2:4019,Galole,KE004019,,,,Tana River,KE004,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:4020,4020,1603:45:16:404:0,1603:45:16:404:1:4,1603:45:16:404:2:4020,Bura,KE004020,,,,Tana River,KE004,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:5021,5021,1603:45:16:404:0,1603:45:16:404:1:5,1603:45:16:404:2:5021,Lamu East,KE005021,,,,Lamu,KE005,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:5022,5022,1603:45:16:404:0,1603:45:16:404:1:5,1603:45:16:404:2:5022,Lamu West,KE005022,,,,Lamu,KE005,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:6023,6023,1603:45:16:404:0,1603:45:16:404:1:6,1603:45:16:404:2:6023,Taveta,KE006023,,,,Taita Taveta,KE006,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:6024,6024,1603:45:16:404:0,1603:45:16:404:1:6,1603:45:16:404:2:6024,Wundanyi,KE006024,,,,Taita Taveta,KE006,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:6025,6025,1603:45:16:404:0,1603:45:16:404:1:6,1603:45:16:404:2:6025,Mwatate,KE006025,,,,Taita Taveta,KE006,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:6026,6026,1603:45:16:404:0,1603:45:16:404:1:6,1603:45:16:404:2:6026,Voi,KE006026,,,,Taita Taveta,KE006,Kenya,KE,2018-07-03,2021-09-28,
1603:45:16:404:2:7027,7027,1603:45:16:404:0,1603:45:16:404:1:7,1603:45:16:404:2:7027,Dujis,KE007027,,,,Garissa,KE007,Kenya,KE,2018-07-03,2021-09-28,
