#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:728:1:1,1,1603:45:16:728:0,1603:45:16:728:1:1,Central Equatoria,SS01,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:2,2,1603:45:16:728:0,1603:45:16:728:1:2,Eastern Equatoria,SS02,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:3,3,1603:45:16:728:0,1603:45:16:728:1:3,Jonglei,SS03,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:4,4,1603:45:16:728:0,1603:45:16:728:1:4,Lakes,SS04,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:5,5,1603:45:16:728:0,1603:45:16:728:1:5,Northern Bahr el Ghazal,SS05,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:6,6,1603:45:16:728:0,1603:45:16:728:1:6,Unity,SS06,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:7,7,1603:45:16:728:0,1603:45:16:728:1:7,Upper Nile,SS07,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:8,8,1603:45:16:728:0,1603:45:16:728:1:8,Warrap,SS08,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:9,9,1603:45:16:728:0,1603:45:16:728:1:9,Western Bahr el Ghazal,SS09,,,,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:10,10,1603:45:16:728:0,1603:45:16:728:1:10,Western Equatoria,SS10,,,,South Sudan,SS,2018-08-15,2022-01-21,
