qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:728:1:1,1,1603:45:16:728:0,1603:45:16:728:1:1,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:2,2,1603:45:16:728:0,1603:45:16:728:1:2,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:3,3,1603:45:16:728:0,1603:45:16:728:1:3,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:4,4,1603:45:16:728:0,1603:45:16:728:1:4,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:5,5,1603:45:16:728:0,1603:45:16:728:1:5,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:6,6,1603:45:16:728:0,1603:45:16:728:1:6,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:7,7,1603:45:16:728:0,1603:45:16:728:1:7,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:8,8,1603:45:16:728:0,1603:45:16:728:1:8,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:9,9,1603:45:16:728:0,1603:45:16:728:1:9,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:1:10,10,1603:45:16:728:0,1603:45:16:728:1:10,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
