#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:562:3:1001001,1001001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1001,1603:45:16:562:3:1001001,Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1002001,1002001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1002,1603:45:16:562:3:1002001,Arlit,NE001002001,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1002002,1002002,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1002,1603:45:16:562:3:1002002,Dannet,NE001002002,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1002003,1002003,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1002,1603:45:16:562:3:1002003,Gougaram,NE001002003,,,,Arlit,NE001002,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1003001,1003001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1003,1603:45:16:562:3:1003001,Bilma,NE001003001,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1003002,1003002,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1003,1603:45:16:562:3:1003002,Dirkou,NE001003002,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1003003,1003003,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1003,1603:45:16:562:3:1003003,Djado,NE001003003,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1003004,1003004,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1003,1603:45:16:562:3:1003004,Fachi,NE001003004,,,,Bilma,NE001003,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1004001,1004001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1004,1603:45:16:562:3:1004001,Iferouane,NE001004001,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1004002,1004002,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1004,1603:45:16:562:3:1004002,Timia,NE001004002,,,,Iferouane,NE001004,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1005001,1005001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1005,1603:45:16:562:3:1005001,Ingall,NE001005001,,,,Ingall,NE001005,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1006001,1006001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1006,1603:45:16:562:3:1006001,Agadez,NE001006001,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1006002,1006002,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1006,1603:45:16:562:3:1006002,Dabaga,NE001006002,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1006003,1006003,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1006,1603:45:16:562:3:1006003,Tabelot,NE001006003,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:1006004,1006004,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1006,1603:45:16:562:3:1006004,Tchirozerine,NE001006004,,,,Tchirozerine,NE001006,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:2001001,2001001,1603:45:16:562:0,1603:45:16:562:1:2,1603:45:16:562:2:2001,1603:45:16:562:3:2001001,Bosso,NE002001001,,,,Bosso,NE002001,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
