qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:120:1:1,1,1603:45:16:120:0,1603:45:16:120:1:1,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:2,2,1603:45:16:120:0,1603:45:16:120:1:2,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:3,3,1603:45:16:120:0,1603:45:16:120:1:3,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:4,4,1603:45:16:120:0,1603:45:16:120:1:4,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:5,5,1603:45:16:120:0,1603:45:16:120:1:5,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:6,6,1603:45:16:120:0,1603:45:16:120:1:6,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:7,7,1603:45:16:120:0,1603:45:16:120:1:7,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:8,8,1603:45:16:120:0,1603:45:16:120:1:8,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:9,9,1603:45:16:120:0,1603:45:16:120:1:9,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:1:10,10,1603:45:16:120:0,1603:45:16:120:1:10,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
