#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:50:2:5010,5010,Bogra,BD5010,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5038,5038,Joypurhat,BD5038,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5064,5064,Naogaon,BD5064,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5069,5069,Natore,BD5069,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5070,5070,Nawabganj,BD5070,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5076,5076,Pabna,BD5076,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5081,5081,Rajshahi,BD5081,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5088,5088,Sirajganj,BD5088,,,,Rajshahi,BD50,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5527,5527,Dinajpur,BD5527,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5532,5532,Gaibandha,BD5532,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5549,5549,Kurigram,BD5549,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5552,5552,Lalmonirhat,BD5552,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5573,5573,Nilphamari,BD5573,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5577,5577,Panchagarh,BD5577,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5585,5585,Rangpur,BD5585,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:5594,5594,Thakurgaon,BD5594,,,,Rangpur,BD55,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:6036,6036,Habiganj,BD6036,,,,Sylhet,BD60,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:6058,6058,Maulvibazar,BD6058,,,,Sylhet,BD60,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:6090,6090,Sunamganj,BD6090,,,,Sylhet,BD60,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:6091,6091,Sylhet,BD6091,,,,Sylhet,BD60,Bangladesh,BD,2018-04-25,2020-12-18,
