item__conceptum__codicem,item__rem__i_qcc__is_zxxx__ix_wikiq,item__rem__i_qcc__is_zxxx__ix_iso3166p2,item__rem__i_qcc__is_zxxx__ix_xzosmrel,item__rem__i_qcc__is_zxxx__ix_xzgeonames,item__rem__i_qcc__is_zxxx__ix_jpgeolod,item__rem__i_qcc__is_zxxx__ix_usworldnet,item__rem__i_qcc__is_zxxx__ix_zzwgs84point,item__rem__i_qcc__is_zxxx__ix_zzgeojson
18808,Q18808,KP-01,,1871856,,08975170-n,Point(125.73 39.03),http://commons.wikimedia.org/data/main/Data:North+Korea/P%27y%C5%8Fngyang.map
18826,Q18826,PG-NSB,3777380,2089470,,,Point(155.0 -6.0),http://commons.wikimedia.org/data/main/Data:Papua+New+Guinea/North+Solomons.map
19660,Q19660,RO-B,377733,683506,,08832326-n,Point(26.083333333 44.4),http://commons.wikimedia.org/data/main/Data:Romania/Bucharest.map
23430,Q23430,MN-1,,2028462,,08991474-n,Point(106.905515 47.921357),http://commons.wikimedia.org/data/main/Data:Mongolia/Ulaanbaatar.map
23438,Q23438,TM-S,7328329,162183,,,Point(58.383333333 37.95),
23564,Q23564,,,3193044,,,Point(19.266111111 42.439722222),
25231,Q25231,NO-21,1337397,7521757,,08782394-n,Point(15.86426 78.15706),http://commons.wikimedia.org/data/main/Data:Svalbard.map
36526,Q36526,PG-NCD,,2088122,,08864045-n,Point(147.149444444 -9.478888888),
40921,Q40921,SB-CT,2536278,2108502,,09020821-n,Point(159.95 -9.433333),http://commons.wikimedia.org/data/main/Data:Solomon+Islands/Capital+Territory+(Honiara).map
41066,Q41066,KR-43,2327258,1845106,,,Point(127.65685 36.82153),http://commons.wikimedia.org/data/main/Data:South+Korea/North+Chungcheong.map
47282,Q47282,KG-GO,,1527534,,,Point(72.783333333 40.533333333),
115027,Q115027,CU-99,1854614|5219730,3555601,,,Point(-82.85 21.75),
140298,Q140298,,,4034365,,,Point(-149.833 -17.5333)|Point(-149.5 -17.5),http://commons.wikimedia.org/data/main/Data:French+Polynesia/Windward+Islands.map
194483,Q194483,BA-BRC,2528143,3294903,,,Point(18.806944444 44.873611111),http://commons.wikimedia.org/data/main/Data:Bosnia+and+Herzegovina/Br%C4%8Dko+Distrikt.map
196042,Q196042,MU-AG,,448254,,,Point(56.583333333 -10.416666666),http://commons.wikimedia.org/data/main/Data:Mauritius/Agal%C3%A9ga.map
200130,Q200130,PK-JK,3780130,1184196,,,Point(73.764555555 33.938083333),http://commons.wikimedia.org/data/main/Data:Pakistan/Azad+Kashmir.map
200697,Q200697,PK-GB,357995,1168878,,,Point(75.9 35.35),http://commons.wikimedia.org/data/main/Data:Pakistan/Gilgit-Baltistan.map
