#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_por+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_por+is_latn,#adm3+name+alt2+i_por+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_por+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_por+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:508:3:10101,10101,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:101,1603:45:16:508:3:10101,Ancuabe,,MZ010101,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10102,10102,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:101,1603:45:16:508:3:10102,Mesa,,MZ010102,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10103,10103,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:101,1603:45:16:508:3:10103,Metoro,,MZ010103,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10201,10201,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:102,1603:45:16:508:3:10201,Balama,,MZ010201,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10202,10202,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:102,1603:45:16:508:3:10202,Impiri,,MZ010202,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10203,10203,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:102,1603:45:16:508:3:10203,Kuekue,,MZ010203,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10204,10204,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:102,1603:45:16:508:3:10204,Mavala,,MZ010204,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10301,10301,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10301,Chiure,,MZ010301,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10302,10302,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10302,Chiure Velho,,MZ010302,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10303,10303,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10303,Katapua,,MZ010303,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:3:10304,10304,1603:45:16:508:0,1603:45:16:508:1:1,1603:45:16:508:2:103,1603:45:16:508:3:10304,Mazeze,,MZ010304,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
