#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:218:2:101,101,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,Cuenca,EC0101,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:102,102,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:102,Giron,EC0102,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:103,103,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:103,Gualaceo,EC0103,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:104,104,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:104,Nabon,EC0104,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:105,105,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:105,Paute,EC0105,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:106,106,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:106,Pucara,EC0106,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:107,107,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:107,San Fernando,EC0107,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:108,108,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:108,Santa Isabel,EC0108,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:109,109,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:109,Sigsig,EC0109,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:110,110,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:110,Oña,EC0110,Ona,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:111,111,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:111,Chordeleg,EC0111,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:112,112,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:112,El Pan,EC0112,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:113,113,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:113,Sevilla de Oro,EC0113,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:114,114,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:114,Guachapala,EC0114,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:115,115,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:115,Camilo Ponce Enriquez,EC0115,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:201,201,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:201,Guaranda,EC0201,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:202,202,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:202,Chillanes,EC0202,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:203,203,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:203,Chimbo,EC0203,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:204,204,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:204,Echeandia,EC0204,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:205,205,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:205,San Miguel,EC0205,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:206,206,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:206,Caluma,EC0206,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:207,207,1603:45:16:218:0,1603:45:16:218:1:2,1603:45:16:218:2:207,Las Naves,EC0207,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:301,301,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:301,Azogues,EC0301,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:302,302,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:302,Biblian,EC0302,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:303,303,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:303,Cañar,EC0303,Canar,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:304,304,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:304,La Troncal,EC0304,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:305,305,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:305,El Tambo,EC0305,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:306,306,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:306,Deleg,EC0306,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:307,307,1603:45:16:218:0,1603:45:16:218:1:3,1603:45:16:218:2:307,Suscal,EC0307,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:401,401,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:401,Tulcan,EC0401,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:2:402,402,1603:45:16:218:0,1603:45:16:218:1:4,1603:45:16:218:2:402,Bolivar,EC0402,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-31,
