#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:174:3:111,111,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,1603:45:16:174:3:111,Bambao Mtsanga,KM111,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:112,112,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,1603:45:16:174:3:112,Domoni,KM112,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:113,113,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,1603:45:16:174:3:113,Jimlimé,KM113,Jimlime,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:114,114,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,1603:45:16:174:3:114,Koni,KM114,,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:115,115,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:11,1603:45:16:174:3:115,Ngandzalé,KM115,Ngandzale,,,Domoni,KM11,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:121,121,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,1603:45:16:174:3:121,Adda,KM121,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:122,122,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,1603:45:16:174:3:122,Chaweni,KM122,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:123,123,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,1603:45:16:174:3:123,Mramani,KM123,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:124,124,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,1603:45:16:174:3:124,Mrémani,KM124,Mremani,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
1603:45:16:174:3:125,125,1603:45:16:174:0,1603:45:16:174:1:1,1603:45:16:174:2:12,1603:45:16:174:3:125,Ongojou,KM125,,,,Mrémani,KM12,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
