#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto
1603:23:21:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,EticaAI
1603:23:21:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,EticaAI
1603:23:21:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,CC0-1.0
1603:23:21:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,2022-04-20
1603:23:21:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,"This is the most generic type of human rights defender. In addition to defend some type of human rights, MUST not cause intentional harm to other human beings unless in self defense and not disproportional immediate to the danger.{% _🗣️ 1603_1_99_20_1 🗣️_ %}"
1603:23:21:17,17,,,,/Wikidata QIDs/,,
