qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:760:1:1,1,1603:45:16:760:0,1603:45:16:760:1:1,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:2,2,1603:45:16:760:0,1603:45:16:760:1:2,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:3,3,1603:45:16:760:0,1603:45:16:760:1:3,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:4,4,1603:45:16:760:0,1603:45:16:760:1:4,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:5,5,1603:45:16:760:0,1603:45:16:760:1:5,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:6,6,1603:45:16:760:0,1603:45:16:760:1:6,Lattakia,اللاذقية,SY06,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:7,7,1603:45:16:760:0,1603:45:16:760:1:7,Idleb,إدلب,SY07,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:8,8,1603:45:16:760:0,1603:45:16:760:1:8,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:9,9,1603:45:16:760:0,1603:45:16:760:1:9,Deir-ez-Zor,دير الزور,SY09,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:10,10,1603:45:16:760:0,1603:45:16:760:1:10,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:11,11,1603:45:16:760:0,1603:45:16:760:1:11,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:12,12,1603:45:16:760:0,1603:45:16:760:1:12,Dar'a,درعا,SY12,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:13,13,1603:45:16:760:0,1603:45:16:760:1:13,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:1:14,14,1603:45:16:760:0,1603:45:16:760:1:14,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
