qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:504:1:1,1,1603:45:16:504:0,1603:45:16:504:1:1,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:2,2,1603:45:16:504:0,1603:45:16:504:1:2,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:3,3,1603:45:16:504:0,1603:45:16:504:1:3,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:4,4,1603:45:16:504:0,1603:45:16:504:1:4,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:5,5,1603:45:16:504:0,1603:45:16:504:1:5,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:6,6,1603:45:16:504:0,1603:45:16:504:1:6,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:7,7,1603:45:16:504:0,1603:45:16:504:1:7,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:8,8,1603:45:16:504:0,1603:45:16:504:1:8,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:9,9,1603:45:16:504:0,1603:45:16:504:1:9,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:1:10,10,1603:45:16:504:0,1603:45:16:504:1:10,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,2020-12-07,2020-12-07,
