#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:266:2:1001,1001,1603:45:16:266:0,1603:45:16:266:1:1,1603:45:16:266:2:1001,Komo,GA001001,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:1002,1002,1603:45:16:266:0,1603:45:16:266:1:1,1603:45:16:266:2:1002,Komo-Mondah,GA001002,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:1003,1003,1603:45:16:266:0,1603:45:16:266:1:1,1603:45:16:266:2:1003,Noya,GA001003,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:1004,1004,1603:45:16:266:0,1603:45:16:266:1:1,1603:45:16:266:2:1004,Libreville,GA001004,,,,Estuaire,GA001,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2001,2001,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2001,Djoue,GA002001,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2002,2002,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2002,Djouori-Agnili,GA002002,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2003,2003,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2003,Lebombi-Leyou,GA002003,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2004,2004,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2004,Lekabi-Lewolo,GA002004,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2005,2005,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2005,Lekoko,GA002005,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
1603:45:16:266:2:2006,2006,1603:45:16:266:0,1603:45:16:266:1:2,1603:45:16:266:2:2006,Lekoni-Lekori,GA002006,,,,Haut-Ogooue,GA002,Gabon,GA,2015-02-17,2021-12-31,
