#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:2:101,101,1603:45:16:72:0,1603:45:16:72:1:1,1603:45:16:72:2:101,Gaborone,BW0101,,,,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:201,201,1603:45:16:72:0,1603:45:16:72:1:2,1603:45:16:72:2:201,Francistown,BW0201,,,,Francistown,BW02,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:301,301,1603:45:16:72:0,1603:45:16:72:1:3,1603:45:16:72:2:301,Lobatse,BW0301,,,,Lobatse,BW03,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:401,401,1603:45:16:72:0,1603:45:16:72:1:4,1603:45:16:72:2:401,Selibe Phikwe,BW0401,,,,Selibe Phikwe,BW04,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:501,501,1603:45:16:72:0,1603:45:16:72:1:5,1603:45:16:72:2:501,Orapa,BW0501,,,,Orapa,BW05,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:601,601,1603:45:16:72:0,1603:45:16:72:1:6,1603:45:16:72:2:601,Jwaneng,BW0601,,,,Jwaneng,BW06,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:701,701,1603:45:16:72:0,1603:45:16:72:1:7,1603:45:16:72:2:701,Sowa Town,BW0701,,,,Sowa Town,BW07,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:801,801,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:801,Southern,BW0801,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:802,802,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:802,Barolong,BW0802,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:803,803,1603:45:16:72:0,1603:45:16:72:1:8,1603:45:16:72:2:803,Ngwaketse West,BW0803,,,,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:901,901,1603:45:16:72:0,1603:45:16:72:1:9,1603:45:16:72:2:901,South East,BW0901,,,,South East,BW09,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1001,1001,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1001,Kweneng East,BW1001,,,,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1002,1002,1603:45:16:72:0,1603:45:16:72:1:10,1603:45:16:72:2:1002,Kweneng West,BW1002,,,,Kweneng,BW10,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1101,1101,1603:45:16:72:0,1603:45:16:72:1:11,1603:45:16:72:2:1101,Kgatleng,BW1101,,,,Kgatleng,BW11,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1201,1201,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,Serowe Palapye,BW1201,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1202,1202,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,Mahalapye,BW1202,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1203,1203,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,Bobonong,BW1203,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1204,1204,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,Boteti,BW1204,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1205,1205,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1205,Tutume,BW1205,,,,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1301,1301,1603:45:16:72:0,1603:45:16:72:1:13,1603:45:16:72:2:1301,North East,BW1301,,,,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1401,1401,1603:45:16:72:0,1603:45:16:72:1:14,1603:45:16:72:2:1401,Ngamiland East,BW1401,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1402,1402,1603:45:16:72:0,1603:45:16:72:1:14,1603:45:16:72:2:1402,Ngamiland West,BW1402,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1403,1403,1603:45:16:72:0,1603:45:16:72:1:14,1603:45:16:72:2:1403,Ngamiland Delta,BW1403,,,,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1501,1501,1603:45:16:72:0,1603:45:16:72:1:15,1603:45:16:72:2:1501,Chobe,BW1501,,,,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1601,1601,1603:45:16:72:0,1603:45:16:72:1:16,1603:45:16:72:2:1601,Ghanzi,BW1601,,,,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1602,1602,1603:45:16:72:0,1603:45:16:72:1:16,1603:45:16:72:2:1602,Central Kgalagadi Game Reserve,BW1602,,,,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:2:1701,1701,1603:45:16:72:0,1603:45:16:72:1:17,1603:45:16:72:2:1701,Kgalagadi South,BW1701,,,,Kgalagadi,BW17,Botswana,BW,2021-05-18,2021-05-18,
