#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip4251
10,Q926973,10
11,Q732852,11
12,Q1414708,12
13,Q657089,13
14,Q1576143,14
15,Q1322751,15
16,Q2453869,16
17,Q2366265,17
18,Q10358279,18
19,Q3181274,19
20,Q2626213,20
21,Q2597196,21
22,Q2731720,22
23,Q2598527,23
25,Q1185830,25
27,Q2653287,27
28,Q2453861,28
29,Q2453216,29
30,Q18552710,30
31,Q2453205,31
33,Q429972,33
35,Q24478299,35
36,Q2534868,36
38,Q74813264,38
40,Q2054789,40
43,Q1234489,43
45,Q1322897,45
50,Q1754827,50
51,Q10345629,51
54,Q5499876,54
55,Q2054750,55
65,Q504000,65
70,Q3366792,70
77,Q20061311,77
90,Q15564211,90
