#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+name+i_fas+is_zyyy,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_fas+is_zyyy,#adm1+name+alt2+i_fas+is_zyyy,#country+name+i_eng+is_latn,#country+name+i_fas+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:364:1:11,11,1603:45:16:364:0,1603:45:16:364:1:11,Ilam,ایلام,IR011,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:12,12,1603:45:16:364:0,1603:45:16:364:1:12,Isfahan,اصفهان,IR012,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:13,13,1603:45:16:364:0,1603:45:16:364:1:13,Kerman,کرمان,IR013,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:14,14,1603:45:16:364:0,1603:45:16:364:1:14,Kermanshah,کرمانشاه,IR014,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:15,15,1603:45:16:364:0,1603:45:16:364:1:15,Khuzestan,خوزستان,IR015,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:16,16,1603:45:16:364:0,1603:45:16:364:1:16,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:17,17,1603:45:16:364:0,1603:45:16:364:1:17,Kurdistan,کردستان,IR017,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:18,18,1603:45:16:364:0,1603:45:16:364:1:18,Lorestan,لرستان,IR018,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:19,19,1603:45:16:364:0,1603:45:16:364:1:19,Markazi,مرکزی,IR019,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:20,20,1603:45:16:364:0,1603:45:16:364:1:20,Mazandaran,مازندران,IR020,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:21,21,1603:45:16:364:0,1603:45:16:364:1:21,North Khorasan,خراسان شمالی,IR021,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:22,22,1603:45:16:364:0,1603:45:16:364:1:22,Qazvin,قزوین,IR022,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:23,23,1603:45:16:364:0,1603:45:16:364:1:23,Qom,قم,IR023,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:24,24,1603:45:16:364:0,1603:45:16:364:1:24,Razavi Khorasan,خراسان رضوی,IR024,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:25,25,1603:45:16:364:0,1603:45:16:364:1:25,Semnan,سمنان,IR025,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:26,26,1603:45:16:364:0,1603:45:16:364:1:26,Sistan and Baluchestan,سیستان و بلوچستان,IR026,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:27,27,1603:45:16:364:0,1603:45:16:364:1:27,South Khorasan,خراسان جنوبی,IR027,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:28,28,1603:45:16:364:0,1603:45:16:364:1:28,Tehran,تهران,IR028,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:29,29,1603:45:16:364:0,1603:45:16:364:1:29,West Azerbaijan,آذربایجان غربی,IR029,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:30,30,1603:45:16:364:0,1603:45:16:364:1:30,Yazd,یزد,IR030,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
1603:45:16:364:1:31,31,1603:45:16:364:0,1603:45:16:364:1:31,Zanjan,زنجان,IR031,,,,,,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,2019-05-20,2019-05-20,
