qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,spa-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:218:3:10150,10150,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10150,Cuenca,EC010150,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10151,10151,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10151,Baños,EC010151,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10152,10152,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10152,Cumbe,EC010152,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10153,10153,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10153,Chaucha,EC010153,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10154,10154,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10154,Checa (Jidcay),EC010154,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10155,10155,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10155,Chiquintad,EC010155,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10156,10156,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10156,Llacao,EC010156,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10157,10157,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10157,Molleturo,EC010157,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10158,10158,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10158,Nulti,EC010158,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10159,10159,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10159,Octavio Cordero Palacios (Sta. Rosa),EC010159,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10160,10160,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10160,Paccha,EC010160,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10161,10161,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10161,Quingeo,EC010161,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10162,10162,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10162,Ricaurte,EC010162,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10163,10163,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10163,San Joaquin,EC010163,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10164,10164,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10164,Santa Ana,EC010164,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10165,10165,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10165,Sayausi,EC010165,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10166,10166,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10166,Sidcay,EC010166,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10167,10167,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10167,Sinincay,EC010167,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10168,10168,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10168,Tarqui,EC010168,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10169,10169,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10169,Turi,EC010169,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10170,10170,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10170,Valle,EC010170,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10171,10171,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:101,1603:45:16:218:3:10171,Victoria del Portete (Irquis),EC010171,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10250,10250,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:102,1603:45:16:218:3:10250,Giron,EC010250,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10251,10251,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:102,1603:45:16:218:3:10251,Asuncion,EC010251,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10252,10252,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:102,1603:45:16:218:3:10252,San Gerardo,EC010252,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10350,10350,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:103,1603:45:16:218:3:10350,Gualaceo,EC010350,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10352,10352,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:103,1603:45:16:218:3:10352,Daniel Cordova Toral (El Oriente),EC010352,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
1603:45:16:218:3:10353,10353,1603:45:16:218:0,1603:45:16:218:1:1,1603:45:16:218:2:103,1603:45:16:218:3:10353,Jadan,EC010353,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-31,
