#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:288:1:1,1,1603:45:16:288:0,1603:45:16:288:1:1,Ahafo,GH01,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:2,2,1603:45:16:288:0,1603:45:16:288:1:2,Ashanti,GH02,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:3,3,1603:45:16:288:0,1603:45:16:288:1:3,Bono,GH03,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:4,4,1603:45:16:288:0,1603:45:16:288:1:4,Bono East,GH04,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:5,5,1603:45:16:288:0,1603:45:16:288:1:5,Central,GH05,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:6,6,1603:45:16:288:0,1603:45:16:288:1:6,Eastern,GH06,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:7,7,1603:45:16:288:0,1603:45:16:288:1:7,Greater Accra,GH07,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:8,8,1603:45:16:288:0,1603:45:16:288:1:8,Northern,GH08,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:9,9,1603:45:16:288:0,1603:45:16:288:1:9,Northern East,GH09,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:10,10,1603:45:16:288:0,1603:45:16:288:1:10,Oti,GH10,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:11,11,1603:45:16:288:0,1603:45:16:288:1:11,Savannah,GH11,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:12,12,1603:45:16:288:0,1603:45:16:288:1:12,Upper East,GH12,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:13,13,1603:45:16:288:0,1603:45:16:288:1:13,Upper West,GH13,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:14,14,1603:45:16:288:0,1603:45:16:288:1:14,Volta,GH14,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:15,15,1603:45:16:288:0,1603:45:16:288:1:15,Western,GH15,,,,Ghana,GH,2021-03-10,2021-12-31,
1603:45:16:288:1:16,16,1603:45:16:288:0,1603:45:16:288:1:16,Western North,GH16,,,,Ghana,GH,2021-03-10,2021-12-31,
