qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,fra-Latn-r-pSKOS-pprefLabel-ps5002,kin-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,fra-Latn-r-pSKOS-pprefLabel-ps5001,kin-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,fra-Latn-r-pSKOS-pprefLabel-ps5000,kin-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:646:2:11,11,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:11,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:12,12,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:12,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:13,13,1603:45:16:646:0,1603:45:16:646:1:1,1603:45:16:646:2:13,Kicukiro,,,RW13,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:21,21,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:21,Nyanza,,,RW21,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:22,22,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:22,Gisagara,,,RW22,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:23,23,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:23,Nyaruguru,,,RW23,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:24,24,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:24,Huye,,,RW24,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:25,25,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:25,Nyamagabe,,,RW25,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:26,26,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:26,Ruhango,,,RW26,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:27,27,1603:45:16:646:0,1603:45:16:646:1:2,1603:45:16:646:2:27,Muhanga,,,RW27,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
