#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_slk+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_slk+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_slk+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_slk+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:703:1:10,10,1603:45:16:703:0,1603:45:16:703:1:10,Bratislavský kraj,SK010,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:21,21,1603:45:16:703:0,1603:45:16:703:1:21,Trnavský kraj,SK021,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:22,22,1603:45:16:703:0,1603:45:16:703:1:22,Trenčiansky kraj,SK022,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:23,23,1603:45:16:703:0,1603:45:16:703:1:23,Nitriansky kraj,SK023,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:31,31,1603:45:16:703:0,1603:45:16:703:1:31,Žilinský kraj,SK031,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:32,32,1603:45:16:703:0,1603:45:16:703:1:32,Banskobystrický kraj,SK032,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:41,41,1603:45:16:703:0,1603:45:16:703:1:41,Prešovský kraj,SK041,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:42,42,1603:45:16:703:0,1603:45:16:703:1:42,Košický kraj,SK042,,,,Slovensko,SK,2022-03-09,2022-03-22,
